,input_a,input_b,operand,output,MR1_input_a,MR1_input_b,MR1_output,constant,MR2_input_a,MR2_input_b,MR2_output,MR3_input_a,MR3_input_b,MR3_output,MR4_input_a,MR4_input_b,MR4_output,MR1_checker,MR2_checker,MR3_checker,MR4_checker,Component 1,Component 2,Component 3,Component 4,Component 5,KMeans,segment
22,4,9,1,-5.0,9.0,4.0,5.0,2.0,8.0,18.0,-10.0,6.0,11.0,-5.0,2.0,7.0,-5.0,0.0,0.0,1.0,1.0,-3.5483196337627425,0.2476358285423861,-1.5809703996091653,3.0617143889534773,0.009914745444680613,3,fourth
23,6,0,1,6.0,0.0,6.0,-6.0,3.0,18.0,0.0,18.0,9.0,3.0,6.0,3.0,-3.0,6.0,0.0,1.0,1.0,1.0,-2.0127475782694906,1.2324899659015376,2.1543320615101815,-2.4782448162901987,-0.3455729182047734,1,seconds
24,5,0,1,5.0,0.0,5.0,-5.0,7.0,35.0,0.0,35.0,12.0,7.0,5.0,-2.0,-7.0,5.0,0.0,1.0,1.0,1.0,-1.2699670155624767,-1.0245522955689308,2.5856419598740668,-2.4123226030193257,-0.08751685648918968,1,seconds
25,1,3,1,-2.0,3.0,1.0,2.0,1.0,1.0,3.0,-2.0,2.0,4.0,-2.0,0.0,2.0,-2.0,0.0,1.0,1.0,1.0,-3.5537366878690566,0.6230039165992277,-1.722785938283145,-1.4842403180162087,-1.2685844816571488,3,fourth
26,5,0,1,5.0,0.0,5.0,-5.0,1.0,5.0,0.0,5.0,6.0,1.0,5.0,4.0,-1.0,5.0,0.0,1.0,1.0,1.0,-2.714857360312833,1.9730777194696696,1.0779614166779217,-2.713445778618017,-0.5495037379296746,1,seconds
27,1,1,1,0.0,1.0,1.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,0.0,-8.0,-8.0,0.0,1.0,1.0,1.0,1.0,-1.5830700209259683,-2.847597467536775,-0.4302354192223296,-2.3218377636265792,0.06888642827316811,4,five
28,1,6,1,-5.0,6.0,1.0,5.0,8.0,8.0,48.0,-40.0,9.0,14.0,-5.0,-7.0,-2.0,-5.0,0.0,0.0,1.0,1.0,-3.2088957842434547,-3.651534933210806,-1.763084213457518,1.8227128334146,1.0325219089400364,3,fourth
29,5,7,1,-2.0,7.0,5.0,2.0,9.0,45.0,63.0,-18.0,14.0,16.0,-2.0,-4.0,-2.0,-2.0,0.0,0.0,1.0,1.0,-1.8083216923256116,-3.6294424642026226,0.9260716446984677,3.344842671599634,1.1263543272162966,3,fourth
30,0,6,1,-6.0,6.0,0.0,6.0,6.0,0.0,36.0,-36.0,6.0,12.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,1.0,1.0,-3.760015975070198,-2.7531201583481373,-2.6610256074146004,1.3582694879395618,0.7580207815464542,3,fourth
31,3,9,1,-6.0,9.0,3.0,6.0,1.0,3.0,9.0,-6.0,4.0,10.0,-6.0,2.0,8.0,-6.0,0.0,1.0,1.0,1.0,-3.40625128356277,0.7019983162900333,-2.034495324385133,2.257098466723212,-2.1278617842656034,3,fourth
32,6,8,1,-2.0,8.0,6.0,2.0,4.0,24.0,32.0,-8.0,10.0,12.0,-2.0,2.0,4.0,-2.0,0.0,0.0,1.0,1.0,-2.6595964144818782,-0.4124284575658668,0.21455167278470286,3.157920774009056,0.4896488346384129,3,fourth
33,9,5,1,4.0,5.0,9.0,-4.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,9.0,5.0,4.0,0.0,0.0,1.0,1.0,-2.9637666610648408,3.223643803896496,1.484632810884095,0.9833281273515196,0.7481920259135201,1,seconds
34,1,8,1,-7.0,8.0,1.0,7.0,5.0,5.0,40.0,-35.0,6.0,13.0,-7.0,-4.0,3.0,-7.0,0.0,0.0,1.0,1.0,-3.729379326823942,-2.2557022090467695,-2.649197195024231,2.668290984759688,0.3865516971692171,3,fourth
35,9,6,1,3.0,6.0,9.0,-3.0,7.0,63.0,42.0,21.0,16.0,13.0,3.0,2.0,-1.0,3.0,0.0,1.0,1.0,1.0,-0.47027397992090864,-1.239403566094864,3.6708245479154193,2.4007376939750666,-0.7743943043005462,1,seconds
36,5,0,1,5.0,0.0,5.0,-5.0,2.0,10.0,0.0,10.0,7.0,2.0,5.0,3.0,-2.0,5.0,0.0,1.0,1.0,1.0,-2.47404230285444,1.473472716963236,1.3292415072106123,-2.6632585826849016,-0.47250592435626043,1,seconds
37,4,0,1,4.0,0.0,4.0,-4.0,6.0,24.0,0.0,24.0,10.0,6.0,4.0,-2.0,-6.0,4.0,0.0,1.0,1.0,1.0,-1.7881946319244524,-0.7546316208595811,1.6933035084972017,-2.607137045576041,-0.20252002378081163,1,seconds
38,1,2,1,-1.0,2.0,1.0,1.0,3.0,3.0,6.0,-3.0,4.0,5.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-3.7107216334964552,-0.37602657960398805,-1.4479478807204296,-1.4637141173469963,1.057527072535277,3,fourth
39,8,4,1,4.0,4.0,8.0,-4.0,5.0,40.0,20.0,20.0,13.0,9.0,4.0,3.0,-1.0,4.0,0.0,1.0,1.0,1.0,-1.196136534937033,0.10001675683165356,2.9374321004692088,0.5619886680677251,-0.6980196861370457,1,seconds
40,3,3,1,0.0,3.0,3.0,0.0,6.0,18.0,18.0,0.0,9.0,9.0,0.0,-3.0,-3.0,0.0,1.0,1.0,1.0,1.0,-1.6282054832270514,-1.2843100210027858,-0.12822669418580335,-0.8391045908598688,-0.4292661486163961,1,seconds
41,2,0,1,2.0,0.0,2.0,-2.0,9.0,18.0,0.0,18.0,11.0,9.0,2.0,-7.0,-9.0,2.0,0.0,1.0,1.0,1.0,-1.7913732526875163,-2.626001513030095,0.9632833671750377,-2.7752319795099294,-0.011747773917390398,1,seconds
42,3,5,1,-2.0,5.0,3.0,2.0,7.0,21.0,35.0,-14.0,10.0,12.0,-2.0,-4.0,-2.0,-2.0,0.0,0.0,1.0,1.0,-2.688657934156163,-2.464907894798963,-0.30312462392324724,1.2550124376300924,1.1194969054440278,3,fourth
43,5,6,1,-1.0,6.0,5.0,1.0,8.0,40.0,48.0,-8.0,13.0,14.0,-1.0,-3.0,-2.0,-1.0,0.0,0.0,1.0,1.0,-1.9474245038903888,-2.8099654184162084,0.9804769554586344,2.4273569563410295,1.1527304201865618,3,fourth
44,5,4,1,1.0,4.0,5.0,-1.0,2.0,10.0,8.0,2.0,7.0,6.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,-2.6377850539910437,1.0868977513526739,0.39401406582892784,-0.2582308268576477,-1.1056462697740157,1,seconds
45,1,3,1,-2.0,3.0,1.0,2.0,3.0,3.0,9.0,-6.0,4.0,6.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,1.0,1.0,-3.756332441135181,-0.48984172884334704,-1.6872838596002695,-0.8419924414387462,0.903465923089358,3,fourth
46,8,0,1,8.0,0.0,8.0,-8.0,7.0,56.0,0.0,56.0,15.0,7.0,8.0,1.0,-7.0,8.0,0.0,1.0,1.0,1.0,-0.3807964470747027,-0.3644372358253311,4.576064939483885,-1.9686401869865138,0.014569365805569235,1,seconds
47,9,7,1,2.0,7.0,9.0,-2.0,2.0,18.0,14.0,4.0,11.0,9.0,2.0,7.0,5.0,2.0,0.0,1.0,1.0,1.0,-1.9545839712066353,1.8700394311205597,1.8981714770904499,2.07177870364313,-1.3648543067118881,1,seconds
