,input_a,input_b,operand,operand_str,output,MR1_input_a,MR1_input_b,MR1_output,constant,MR2_input_a,MR2_input_b,MR2_output,MR3_input_a,MR3_input_b,MR3_output,MR4_input_a,MR4_input_b,MR4_output,MR1_checker,MR1_checker_str,MR2_checker,MR2_checker_str,MR3_checker,MR3_checker_str,MR4_checker,MR4_checker_str
0,3,0,1,sub,3.0,0.0,3.0,-3.0,5.0,15.0,0.0,15.0,8.0,5.0,3.0,-2.0,-5.0,3.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
1,7,5,1,sub,2.0,5.0,7.0,-2.0,8.0,56.0,40.0,16.0,15.0,13.0,2.0,-1.0,-3.0,2.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
2,7,1,1,sub,6.0,1.0,7.0,-6.0,7.0,49.0,7.0,42.0,14.0,8.0,6.0,0.0,-6.0,6.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
3,4,0,1,sub,4.0,0.0,4.0,-4.0,1.0,4.0,0.0,4.0,5.0,1.0,4.0,3.0,-1.0,4.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
4,1,4,1,sub,-3.0,4.0,1.0,3.0,2.0,2.0,8.0,-6.0,3.0,6.0,-3.0,-1.0,2.0,-3.0,0.0,Violated,0.0,Violated,1.0,No-violated,1.0,No-violated
5,2,1,1,sub,1.0,1.0,2.0,-1.0,3.0,6.0,3.0,3.0,5.0,4.0,1.0,-1.0,-2.0,1.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
6,3,6,1,sub,-3.0,6.0,3.0,3.0,9.0,27.0,54.0,-27.0,12.0,15.0,-3.0,-6.0,-3.0,-3.0,0.0,Violated,0.0,Violated,1.0,No-violated,1.0,No-violated
7,9,5,1,sub,4.0,5.0,9.0,-4.0,6.0,54.0,30.0,24.0,15.0,11.0,4.0,3.0,-1.0,4.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
8,5,2,1,sub,3.0,2.0,5.0,-3.0,6.0,30.0,12.0,18.0,11.0,8.0,3.0,-1.0,-4.0,3.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
9,8,6,1,sub,2.0,6.0,8.0,-2.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,8.0,6.0,2.0,0.0,Violated,0.0,Violated,1.0,No-violated,1.0,No-violated
10,4,8,1,sub,-4.0,8.0,4.0,4.0,3.0,12.0,24.0,-12.0,7.0,11.0,-4.0,1.0,5.0,-4.0,0.0,Violated,0.0,Violated,1.0,No-violated,1.0,No-violated
11,7,8,1,sub,-1.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,-1.0,7.0,8.0,-1.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
12,9,7,1,sub,2.0,7.0,9.0,-2.0,3.0,27.0,21.0,6.0,12.0,10.0,2.0,6.0,4.0,2.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
13,3,4,1,sub,-1.0,4.0,3.0,1.0,9.0,27.0,36.0,-9.0,12.0,13.0,-1.0,-6.0,-5.0,-1.0,0.0,Violated,0.0,Violated,1.0,No-violated,1.0,No-violated
14,7,3,1,sub,4.0,3.0,7.0,-4.0,8.0,56.0,24.0,32.0,15.0,11.0,4.0,-1.0,-5.0,4.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
15,5,0,1,sub,5.0,0.0,5.0,-5.0,2.0,10.0,0.0,10.0,7.0,2.0,5.0,3.0,-2.0,5.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
16,7,5,1,sub,2.0,5.0,7.0,-2.0,8.0,56.0,40.0,16.0,15.0,13.0,2.0,-1.0,-3.0,2.0,0.0,Violated,1.0,No-violated,1.0,No-violated,1.0,No-violated
17,3,5,1,sub,-2.0,5.0,3.0,2.0,2.0,6.0,10.0,-4.0,5.0,7.0,-2.0,1.0,3.0,-2.0,0.0,Violated,0.0,Violated,1.0,No-violated,1.0,No-violated
