,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('input_a == 5',)",1,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
1,"('input_b == 7',)",1,"('MR1_input_a == 7.0',)",1,1.0,0.14,7.142857142857144,859999999.9999999
2,"('MR1_input_a == 7.0',)",1,"('input_b == 7',)",1,1.0,0.14,7.142857142857144,859999999.9999999
3,"('input_a == 1',)",1,"('MR1_input_b == 1.0',)",1,1.0,0.12,8.333333333333334,880000000.0
4,"('MR1_input_b == 1.0',)",1,"('input_a == 1',)",1,1.0,0.12,8.333333333333334,880000000.0
5,"('MR1_checker == Violated', 'input_a == 4')",2,"('MR1_input_b == 4.0',)",1,1.0,0.1,9.090909090909092,890000000.0
6,"('MR1_checker == Violated', 'MR1_input_b == 4.0')",2,"('input_a == 4',)",1,1.0,0.1,9.090909090909092,890000000.0
7,"('MR1_input_a == 7.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.14,1.0638297872340428,60000000.00000005
8,"('output == -2.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
9,"('MR1_checker == Violated', 'input_b == 2')",2,"('MR1_input_a == 2.0',)",1,1.0,0.12,7.6923076923076925,870000000.0
10,"('MR1_checker == Violated', 'MR1_input_a == 2.0')",2,"('input_b == 2',)",1,1.0,0.12,7.6923076923076925,870000000.0
11,"('MR1_output == 2.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
12,"('input_b == 4',)",1,"('MR1_input_a == 4.0',)",1,1.0,0.11,9.090909090909092,890000000.0
13,"('MR1_input_a == 4.0',)",1,"('input_b == 4',)",1,1.0,0.11,9.090909090909092,890000000.0
14,"('MR1_output == 1.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
15,"('output == -2.0',)",1,"('MR1_output == 2.0',)",1,1.0,0.12,8.333333333333334,880000000.0
16,"('MR1_output == 2.0',)",1,"('output == -2.0',)",1,1.0,0.12,8.333333333333334,880000000.0
17,"('MR1_checker == Violated', 'input_a == 6')",2,"('MR1_input_b == 6.0',)",1,1.0,0.1,9.090909090909092,890000000.0
18,"('MR1_checker == Violated', 'MR1_input_b == 6.0')",2,"('input_a == 6',)",1,1.0,0.1,9.090909090909092,890000000.0
19,"('input_b == 7',)",1,"('MR1_checker == Violated',)",1,1.0,0.14,1.0638297872340428,60000000.00000005
20,"('MR1_input_b == 1.0', 'input_a == 1')",2,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
21,"('MR1_checker == Violated', 'input_a == 1')",2,"('MR1_input_b == 1.0',)",1,1.0,0.12,8.333333333333334,880000000.0
22,"('output == -1.0',)",1,"('MR1_output == 1.0',)",1,1.0,0.12,8.333333333333334,880000000.0
23,"('MR1_output == 1.0',)",1,"('output == -1.0',)",1,1.0,0.12,8.333333333333334,880000000.0
24,"('MR1_checker == Violated', 'MR1_input_b == 1.0')",2,"('input_a == 1',)",1,1.0,0.12,8.333333333333334,880000000.0
25,"('input_a == 1',)",1,"('MR1_checker == Violated', 'MR1_input_b == 1.0')",2,1.0,0.12,8.333333333333334,880000000.0
26,"('MR1_input_b == 1.0',)",1,"('MR1_checker == Violated', 'input_a == 1')",2,1.0,0.12,8.333333333333334,880000000.0
27,"('MR1_input_b == 5.0', 'input_a == 5')",2,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
28,"('MR1_checker == Violated', 'input_a == 5')",2,"('MR1_input_b == 5.0',)",1,1.0,0.12,8.333333333333334,880000000.0
29,"('MR1_checker == Violated', 'MR1_input_b == 5.0')",2,"('input_a == 5',)",1,1.0,0.12,8.333333333333334,880000000.0
30,"('input_a == 5',)",1,"('MR1_checker == Violated', 'MR1_input_b == 5.0')",2,1.0,0.12,8.333333333333334,880000000.0
31,"('MR1_input_b == 5.0',)",1,"('MR1_checker == Violated', 'input_a == 5')",2,1.0,0.12,8.333333333333334,880000000.0
32,"('input_b == 2',)",1,"('MR1_input_a == 2.0',)",1,1.0,0.13,7.692307692307693,870000000.0
33,"('MR1_input_a == 2.0',)",1,"('input_b == 2',)",1,1.0,0.13,7.692307692307693,870000000.0
34,"('MR1_checker == Violated', 'input_a == 2')",2,"('MR1_input_b == 2.0',)",1,1.0,0.13,7.142857142857142,859999999.9999999
35,"('MR1_checker == Violated', 'MR1_input_b == 2.0')",2,"('input_a == 2',)",1,1.0,0.13,7.142857142857142,859999999.9999999
36,"('input_a == 1',)",1,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
37,"('MR1_checker == Violated', 'input_b == 4')",2,"('MR1_input_a == 4.0',)",1,1.0,0.1,9.090909090909092,890000000.0
38,"('input_a == 9',)",1,"('MR1_input_b == 9.0',)",1,1.0,0.1,10.0,900000000.0
39,"('MR1_input_b == 9.0',)",1,"('input_a == 9',)",1,1.0,0.1,10.0,900000000.0
40,"('MR1_input_b == 1.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
41,"('output == -1.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
42,"('MR1_checker == Violated', 'input_b == 6')",2,"('MR1_input_a == 6.0',)",1,1.0,0.11,8.333333333333334,880000000.0
43,"('MR1_checker == Violated', 'MR1_input_a == 4.0')",2,"('input_b == 4',)",1,1.0,0.1,9.090909090909092,890000000.0
44,"('MR1_checker == Violated', 'MR1_input_a == 6.0')",2,"('input_b == 6',)",1,1.0,0.11,8.333333333333334,880000000.0
45,"('input_a == 4',)",1,"('MR1_input_b == 4.0',)",1,1.0,0.11,9.090909090909092,890000000.0
46,"('MR1_input_b == 4.0',)",1,"('input_a == 4',)",1,1.0,0.11,9.090909090909092,890000000.0
47,"('input_a == 6',)",1,"('MR1_input_b == 6.0',)",1,1.0,0.11,9.090909090909092,890000000.0
48,"('MR1_input_b == 5.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
49,"('MR1_input_b == 6.0',)",1,"('input_a == 6',)",1,1.0,0.11,9.090909090909092,890000000.0
50,"('MR1_output == 2.0', 'output == -2.0')",2,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
51,"('MR1_checker == Violated', 'output == -2.0')",2,"('MR1_output == 2.0',)",1,1.0,0.12,8.333333333333334,880000000.0
52,"('MR1_checker == Violated', 'MR1_output == 2.0')",2,"('output == -2.0',)",1,1.0,0.12,8.333333333333334,880000000.0
53,"('output == -2.0',)",1,"('MR1_checker == Violated', 'MR1_output == 2.0')",2,1.0,0.12,8.333333333333334,880000000.0
54,"('MR1_output == 2.0',)",1,"('MR1_checker == Violated', 'output == -2.0')",2,1.0,0.12,8.333333333333334,880000000.0
55,"('input_a == 2',)",1,"('MR1_input_b == 2.0',)",1,1.0,0.14,7.142857142857144,859999999.9999999
56,"('MR1_input_b == 2.0',)",1,"('input_a == 2',)",1,1.0,0.14,7.142857142857144,859999999.9999999
57,"('MR1_output == 1.0', 'output == -1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.12,1.0638297872340425,60000000.00000005
58,"('MR1_checker == Violated', 'output == -1.0')",2,"('MR1_output == 1.0',)",1,1.0,0.12,8.333333333333334,880000000.0
59,"('MR1_checker == Violated', 'MR1_output == 1.0')",2,"('output == -1.0',)",1,1.0,0.12,8.333333333333334,880000000.0
60,"('output == -1.0',)",1,"('MR1_checker == Violated', 'MR1_output == 1.0')",2,1.0,0.12,8.333333333333334,880000000.0
61,"('MR1_output == 1.0',)",1,"('MR1_checker == Violated', 'output == -1.0')",2,1.0,0.12,8.333333333333334,880000000.0
62,"('input_a == 5',)",1,"('MR1_input_b == 5.0',)",1,1.0,0.12,8.333333333333334,880000000.0
63,"('MR1_input_b == 5.0',)",1,"('input_a == 5',)",1,1.0,0.12,8.333333333333334,880000000.0
64,"('MR1_input_a == 7.0', 'input_b == 7')",2,"('MR1_checker == Violated',)",1,1.0,0.14,1.0638297872340428,60000000.00000005
65,"('MR1_checker == Violated', 'input_b == 7')",2,"('MR1_input_a == 7.0',)",1,1.0,0.14,7.142857142857144,859999999.9999999
66,"('MR1_checker == Violated', 'MR1_input_a == 7.0')",2,"('input_b == 7',)",1,1.0,0.14,7.142857142857144,859999999.9999999
67,"('input_b == 7',)",1,"('MR1_checker == Violated', 'MR1_input_a == 7.0')",2,1.0,0.14,7.142857142857144,859999999.9999999
68,"('MR1_input_a == 7.0',)",1,"('MR1_checker == Violated', 'input_b == 7')",2,1.0,0.14,7.142857142857144,859999999.9999999
69,"('input_b == 6',)",1,"('MR1_input_a == 6.0',)",1,1.0,0.12,8.333333333333334,880000000.0
70,"('MR1_input_a == 6.0',)",1,"('input_b == 6',)",1,1.0,0.12,8.333333333333334,880000000.0
