,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('MR4 == No-violated', 'MR4_output==-2', 'output==-2')",3,"('MR3_output==-2',)",1,1.0,0.25,4.0,750000000.0
1,"('MR3_output==-2', 'MR4_output==-2', 'output==-2')",3,"('MR4 == No-violated',)",1,1.0,0.25,1.0,0.0
2,"('MR3_output==-2', 'MR4 == No-violated', 'output==-2')",3,"('MR4_output==-2',)",1,1.0,0.25,4.0,750000000.0
3,"('MR3_output==-2', 'MR4 == No-violated', 'MR4_output==-2')",3,"('output==-2',)",1,1.0,0.25,4.0,750000000.0
4,"('MR4_output==-2', 'output==-2')",2,"('MR3_output==-2', 'MR4 == No-violated')",2,1.0,0.25,4.0,750000000.0
5,"('MR4 == No-violated', 'output==-2')",2,"('MR3_output==-2', 'MR4_output==-2')",2,1.0,0.25,4.0,750000000.0
6,"('MR4 == No-violated', 'MR4_output==-2')",2,"('MR3_output==-2', 'output==-2')",2,1.0,0.25,4.0,750000000.0
7,"('MR3_output==-2', 'output==-2')",2,"('MR4 == No-violated', 'MR4_output==-2')",2,1.0,0.25,4.0,750000000.0
8,"('MR3_output==-2', 'MR4_output==-2')",2,"('MR4 == No-violated', 'output==-2')",2,1.0,0.25,4.0,750000000.0
9,"('MR3_output==-2', 'MR4 == No-violated')",2,"('MR4_output==-2', 'output==-2')",2,1.0,0.25,4.0,750000000.0
10,"('MR2 == Violated', 'MR3 == No-violated', 'MR3_output==-2', 'MR4 == No-violated', 'sub')",5,"('MR1_output==2', 'output==-2')",2,1.0,0.2222222222222222,4.0,750000000.0
11,"('MR2 == Violated', 'MR3 == No-violated', 'MR3_output==-2', 'MR4 == No-violated', 'output==-2')",5,"('MR1_output==2', 'sub')",2,1.0,0.2222222222222222,4.0,750000000.0
12,"('MR1_output==2', 'MR2 == Violated', 'MR4 == No-violated', 'output==-2', 'sub')",5,"('MR3 == No-violated', 'MR3_output==-2')",2,1.0,0.2222222222222222,4.0,750000000.0
13,"('MR1_output==2', 'MR3_output==-2', 'MR4_output==-2', 'output==-2')",4,"('MR1 == Violated',)",1,1.0,0.25,1.0,0.0
14,"('MR1 == Violated', 'MR3_output==-2', 'MR4_output==-2', 'output==-2')",4,"('MR1_output==2',)",1,1.0,0.25,4.0,750000000.0
15,"('MR1 == Violated', 'MR1_output==2', 'MR4_output==-2', 'output==-2')",4,"('MR3_output==-2',)",1,1.0,0.25,4.0,750000000.0
