,"(a,b)",input_a,input_b,const,output,MR1_input_a,MR1_input_b,MR1_inputs,MR1_output,MR1_checker
0,"(0,0)",0,0,6,0.0,0.0,0.0,"(0,0)",0.0,No-violated
1,"(1,0)",1,0,6,1.0,0.0,1.0,"(0,1)",1.0,No-violated
2,"(2,0)",2,0,6,2.0,0.0,2.0,"(0,2)",2.0,No-violated
3,"(3,0)",3,0,6,3.0,0.0,3.0,"(0,3)",3.0,No-violated
4,"(4,0)",4,0,6,4.0,0.0,4.0,"(0,4)",4.0,No-violated
5,"(5,0)",5,0,6,5.0,0.0,5.0,"(0,5)",5.0,No-violated
6,"(6,0)",6,0,6,6.0,0.0,6.0,"(0,6)",6.0,No-violated
7,"(7,0)",7,0,6,7.0,0.0,7.0,"(0,7)",7.0,No-violated
8,"(8,0)",8,0,6,8.0,0.0,8.0,"(0,8)",8.0,No-violated
9,"(9,0)",9,0,6,9.0,0.0,9.0,"(0,9)",9.0,No-violated
10,"(0,1)",0,1,6,1.0,1.0,0.0,"(1,0)",1.0,No-violated
11,"(1,1)",1,1,6,2.0,1.0,1.0,"(1,1)",2.0,No-violated
12,"(2,1)",2,1,6,3.0,1.0,2.0,"(1,2)",3.0,No-violated
13,"(3,1)",3,1,6,4.0,1.0,3.0,"(1,3)",4.0,No-violated
14,"(4,1)",4,1,6,5.0,1.0,4.0,"(1,4)",5.0,No-violated
15,"(5,1)",5,1,6,6.0,1.0,5.0,"(1,5)",6.0,No-violated
16,"(6,1)",6,1,6,7.0,1.0,6.0,"(1,6)",7.0,No-violated
17,"(7,1)",7,1,6,8.0,1.0,7.0,"(1,7)",8.0,No-violated
18,"(8,1)",8,1,6,9.0,1.0,8.0,"(1,8)",9.0,No-violated
19,"(9,1)",9,1,6,10.0,1.0,9.0,"(1,9)",10.0,No-violated
20,"(0,2)",0,2,6,2.0,2.0,0.0,"(2,0)",2.0,No-violated
21,"(1,2)",1,2,6,3.0,2.0,1.0,"(2,1)",3.0,No-violated
22,"(2,2)",2,2,6,4.0,2.0,2.0,"(2,2)",4.0,No-violated
23,"(3,2)",3,2,6,5.0,2.0,3.0,"(2,3)",5.0,No-violated
24,"(4,2)",4,2,6,6.0,2.0,4.0,"(2,4)",6.0,No-violated
25,"(5,2)",5,2,6,7.0,2.0,5.0,"(2,5)",7.0,No-violated
26,"(6,2)",6,2,6,8.0,2.0,6.0,"(2,6)",8.0,No-violated
27,"(7,2)",7,2,6,9.0,2.0,7.0,"(2,7)",9.0,No-violated
28,"(8,2)",8,2,6,10.0,2.0,8.0,"(2,8)",10.0,No-violated
29,"(9,2)",9,2,6,11.0,2.0,9.0,"(2,9)",11.0,No-violated
30,"(0,3)",0,3,6,3.0,3.0,0.0,"(3,0)",3.0,No-violated
31,"(1,3)",1,3,6,4.0,3.0,1.0,"(3,1)",4.0,No-violated
32,"(2,3)",2,3,6,5.0,3.0,2.0,"(3,2)",5.0,No-violated
33,"(3,3)",3,3,6,6.0,3.0,3.0,"(3,3)",6.0,No-violated
34,"(4,3)",4,3,6,7.0,3.0,4.0,"(3,4)",7.0,No-violated
35,"(5,3)",5,3,6,8.0,3.0,5.0,"(3,5)",8.0,No-violated
36,"(6,3)",6,3,6,9.0,3.0,6.0,"(3,6)",9.0,No-violated
37,"(7,3)",7,3,6,10.0,3.0,7.0,"(3,7)",10.0,No-violated
38,"(8,3)",8,3,6,11.0,3.0,8.0,"(3,8)",11.0,No-violated
