,"(a,b)",input_a,input_b,const,output,MR1_input_a,MR1_input_b,MR1_inputs,MR1_output,MR1_checker
39,"(9,3)",9,3,6,12.0,3.0,9.0,"(3,9)",12.0,No-violated
40,"(0,4)",0,4,6,4.0,4.0,0.0,"(4,0)",4.0,No-violated
41,"(1,4)",1,4,6,5.0,4.0,1.0,"(4,1)",5.0,No-violated
42,"(2,4)",2,4,6,6.0,4.0,2.0,"(4,2)",6.0,No-violated
43,"(3,4)",3,4,6,7.0,4.0,3.0,"(4,3)",7.0,No-violated
44,"(4,4)",4,4,6,8.0,4.0,4.0,"(4,4)",8.0,No-violated
45,"(5,4)",5,4,6,9.0,4.0,5.0,"(4,5)",9.0,No-violated
46,"(6,4)",6,4,6,10.0,4.0,6.0,"(4,6)",10.0,No-violated
47,"(7,4)",7,4,6,11.0,4.0,7.0,"(4,7)",11.0,No-violated
48,"(8,4)",8,4,6,12.0,4.0,8.0,"(4,8)",12.0,No-violated
49,"(9,4)",9,4,6,13.0,4.0,9.0,"(4,9)",13.0,No-violated
50,"(0,5)",0,5,6,5.0,5.0,0.0,"(5,0)",5.0,No-violated
51,"(1,5)",1,5,6,6.0,5.0,1.0,"(5,1)",6.0,No-violated
52,"(2,5)",2,5,6,7.0,5.0,2.0,"(5,2)",7.0,No-violated
53,"(3,5)",3,5,6,8.0,5.0,3.0,"(5,3)",8.0,No-violated
54,"(4,5)",4,5,6,9.0,5.0,4.0,"(5,4)",9.0,No-violated
55,"(5,5)",5,5,6,10.0,5.0,5.0,"(5,5)",10.0,No-violated
56,"(6,5)",6,5,6,11.0,5.0,6.0,"(5,6)",11.0,No-violated
57,"(7,5)",7,5,6,12.0,5.0,7.0,"(5,7)",12.0,No-violated
58,"(8,5)",8,5,6,13.0,5.0,8.0,"(5,8)",13.0,No-violated
59,"(9,5)",9,5,6,14.0,5.0,9.0,"(5,9)",14.0,No-violated
60,"(0,6)",0,6,6,6.0,6.0,0.0,"(6,0)",6.0,No-violated
61,"(1,6)",1,6,6,7.0,6.0,1.0,"(6,1)",7.0,No-violated
62,"(2,6)",2,6,6,8.0,6.0,2.0,"(6,2)",8.0,No-violated
63,"(3,6)",3,6,6,9.0,6.0,3.0,"(6,3)",9.0,No-violated
64,"(4,6)",4,6,6,10.0,6.0,4.0,"(6,4)",10.0,No-violated
65,"(5,6)",5,6,6,11.0,6.0,5.0,"(6,5)",11.0,No-violated
66,"(6,6)",6,6,6,12.0,6.0,6.0,"(6,6)",12.0,No-violated
67,"(7,6)",7,6,6,13.0,6.0,7.0,"(6,7)",13.0,No-violated
68,"(8,6)",8,6,6,14.0,6.0,8.0,"(6,8)",14.0,No-violated
69,"(9,6)",9,6,6,15.0,6.0,9.0,"(6,9)",15.0,No-violated
70,"(0,7)",0,7,6,7.0,7.0,0.0,"(7,0)",7.0,No-violated
71,"(1,7)",1,7,6,8.0,7.0,1.0,"(7,1)",8.0,No-violated
72,"(2,7)",2,7,6,9.0,7.0,2.0,"(7,2)",9.0,No-violated
73,"(3,7)",3,7,6,10.0,7.0,3.0,"(7,3)",10.0,No-violated
74,"(4,7)",4,7,6,11.0,7.0,4.0,"(7,4)",11.0,No-violated
75,"(5,7)",5,7,6,12.0,7.0,5.0,"(7,5)",12.0,No-violated
76,"(6,7)",6,7,6,13.0,7.0,6.0,"(7,6)",13.0,No-violated
77,"(7,7)",7,7,6,14.0,7.0,7.0,"(7,7)",14.0,No-violated
78,"(8,7)",8,7,6,15.0,7.0,8.0,"(7,8)",15.0,No-violated
79,"(9,7)",9,7,6,16.0,7.0,9.0,"(7,9)",16.0,No-violated
80,"(0,8)",0,8,6,8.0,8.0,0.0,"(8,0)",8.0,No-violated
81,"(1,8)",1,8,6,9.0,8.0,1.0,"(8,1)",9.0,No-violated
82,"(2,8)",2,8,6,10.0,8.0,2.0,"(8,2)",10.0,No-violated
83,"(3,8)",3,8,6,11.0,8.0,3.0,"(8,3)",11.0,No-violated
84,"(4,8)",4,8,6,12.0,8.0,4.0,"(8,4)",12.0,No-violated
85,"(5,8)",5,8,6,13.0,8.0,5.0,"(8,5)",13.0,No-violated
86,"(6,8)",6,8,6,14.0,8.0,6.0,"(8,6)",14.0,No-violated
87,"(7,8)",7,8,6,15.0,8.0,7.0,"(8,7)",15.0,No-violated
88,"(8,8)",8,8,6,16.0,8.0,8.0,"(8,8)",16.0,No-violated
89,"(9,8)",9,8,6,17.0,8.0,9.0,"(8,9)",17.0,No-violated
90,"(0,9)",0,9,6,9.0,9.0,0.0,"(9,0)",9.0,No-violated
91,"(1,9)",1,9,6,10.0,9.0,1.0,"(9,1)",10.0,No-violated
92,"(2,9)",2,9,6,11.0,9.0,2.0,"(9,2)",11.0,No-violated
93,"(3,9)",3,9,6,12.0,9.0,3.0,"(9,3)",12.0,No-violated
94,"(4,9)",4,9,6,13.0,9.0,4.0,"(9,4)",13.0,No-violated
95,"(5,9)",5,9,6,14.0,9.0,5.0,"(9,5)",14.0,No-violated
96,"(6,9)",6,9,6,15.0,9.0,6.0,"(9,6)",15.0,No-violated
97,"(7,9)",7,9,6,16.0,9.0,7.0,"(9,7)",16.0,No-violated
98,"(8,9)",8,9,6,17.0,9.0,8.0,"(9,8)",17.0,No-violated
99,"(9,9)",9,9,6,18.0,9.0,9.0,"(9,9)",18.0,No-violated
