,"(a,b)",input_a,input_b,const,output,MR2_input_a,MR2_input_b,MR2_inputs,MR2_output,MR2_checker
52,"(2,5)",2,5,6,7.0,12.0,30.0,"(12,30)",42.0,No-violated
53,"(3,5)",3,5,6,8.0,18.0,30.0,"(18,30)",48.0,No-violated
54,"(4,5)",4,5,6,9.0,24.0,30.0,"(24,30)",54.0,No-violated
55,"(5,5)",5,5,6,10.0,30.0,30.0,"(30,30)",60.0,No-violated
56,"(6,5)",6,5,6,11.0,36.0,30.0,"(36,30)",66.0,No-violated
57,"(7,5)",7,5,6,12.0,42.0,30.0,"(42,30)",72.0,No-violated
58,"(8,5)",8,5,6,13.0,48.0,30.0,"(48,30)",78.0,No-violated
59,"(9,5)",9,5,6,14.0,54.0,30.0,"(54,30)",84.0,No-violated
60,"(0,6)",0,6,6,6.0,0.0,36.0,"(0,36)",36.0,No-violated
61,"(1,6)",1,6,6,7.0,6.0,36.0,"(6,36)",42.0,No-violated
62,"(2,6)",2,6,6,8.0,12.0,36.0,"(12,36)",48.0,No-violated
63,"(3,6)",3,6,6,9.0,18.0,36.0,"(18,36)",54.0,No-violated
64,"(4,6)",4,6,6,10.0,24.0,36.0,"(24,36)",60.0,No-violated
65,"(5,6)",5,6,6,11.0,30.0,36.0,"(30,36)",66.0,No-violated
66,"(6,6)",6,6,6,12.0,36.0,36.0,"(36,36)",72.0,No-violated
67,"(7,6)",7,6,6,13.0,42.0,36.0,"(42,36)",78.0,No-violated
68,"(8,6)",8,6,6,14.0,48.0,36.0,"(48,36)",84.0,No-violated
69,"(9,6)",9,6,6,15.0,54.0,36.0,"(54,36)",90.0,No-violated
70,"(0,7)",0,7,6,7.0,0.0,42.0,"(0,42)",42.0,No-violated
71,"(1,7)",1,7,6,8.0,6.0,42.0,"(6,42)",48.0,No-violated
72,"(2,7)",2,7,6,9.0,12.0,42.0,"(12,42)",54.0,No-violated
73,"(3,7)",3,7,6,10.0,18.0,42.0,"(18,42)",60.0,No-violated
74,"(4,7)",4,7,6,11.0,24.0,42.0,"(24,42)",66.0,No-violated
75,"(5,7)",5,7,6,12.0,30.0,42.0,"(30,42)",72.0,No-violated
76,"(6,7)",6,7,6,13.0,36.0,42.0,"(36,42)",78.0,No-violated
77,"(7,7)",7,7,6,14.0,42.0,42.0,"(42,42)",84.0,No-violated
78,"(8,7)",8,7,6,15.0,48.0,42.0,"(48,42)",90.0,No-violated
79,"(9,7)",9,7,6,16.0,54.0,42.0,"(54,42)",96.0,No-violated
80,"(0,8)",0,8,6,8.0,0.0,48.0,"(0,48)",48.0,No-violated
81,"(1,8)",1,8,6,9.0,6.0,48.0,"(6,48)",54.0,No-violated
82,"(2,8)",2,8,6,10.0,12.0,48.0,"(12,48)",60.0,No-violated
83,"(3,8)",3,8,6,11.0,18.0,48.0,"(18,48)",66.0,No-violated
84,"(4,8)",4,8,6,12.0,24.0,48.0,"(24,48)",72.0,No-violated
85,"(5,8)",5,8,6,13.0,30.0,48.0,"(30,48)",78.0,No-violated
86,"(6,8)",6,8,6,14.0,36.0,48.0,"(36,48)",84.0,No-violated
87,"(7,8)",7,8,6,15.0,42.0,48.0,"(42,48)",90.0,No-violated
88,"(8,8)",8,8,6,16.0,48.0,48.0,"(48,48)",96.0,No-violated
89,"(9,8)",9,8,6,17.0,54.0,48.0,"(54,48)",102.0,No-violated
90,"(0,9)",0,9,6,9.0,0.0,54.0,"(0,54)",54.0,No-violated
91,"(1,9)",1,9,6,10.0,6.0,54.0,"(6,54)",60.0,No-violated
92,"(2,9)",2,9,6,11.0,12.0,54.0,"(12,54)",66.0,No-violated
93,"(3,9)",3,9,6,12.0,18.0,54.0,"(18,54)",72.0,No-violated
94,"(4,9)",4,9,6,13.0,24.0,54.0,"(24,54)",78.0,No-violated
95,"(5,9)",5,9,6,14.0,30.0,54.0,"(30,54)",84.0,No-violated
96,"(6,9)",6,9,6,15.0,36.0,54.0,"(36,54)",90.0,No-violated
97,"(7,9)",7,9,6,16.0,42.0,54.0,"(42,54)",96.0,No-violated
98,"(8,9)",8,9,6,17.0,48.0,54.0,"(48,54)",102.0,No-violated
99,"(9,9)",9,9,6,18.0,54.0,54.0,"(54,54)",108.0,No-violated
