,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('(4,3)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
1,"('(4,2)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
2,"('(7,5)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
3,"('(6,1)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
4,"('(6,6)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
5,"('(5,6)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
6,"('(0,8)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
7,"('(1,5)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
8,"('(1,4)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
9,"('(2,9)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
10,"('(3,6)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
11,"('(6,3)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
12,"('(6,2)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
13,"('(0,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
14,"('(7,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
15,"('(2,4)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
16,"('(3,3)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
17,"('(7,1)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
18,"('(5,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
19,"('(0,1)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
20,"('(9,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
21,"('(4,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
22,"('(2,6)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
23,"('(1,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
24,"('(0,9)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
25,"('(3,9)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
26,"('(9,4)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
27,"('(1,2)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
28,"('(3,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
29,"('(5,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
30,"('(1,9)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
31,"('(1,8)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
32,"('(9,5)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
33,"('(7,4)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
34,"('(2,3)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
35,"('(6,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
36,"('(5,1)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
37,"('(0,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
38,"('(8,1)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
39,"('(2,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
40,"('(8,5)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
41,"('(5,8)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
42,"('(5,2)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
43,"('(6,4)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
44,"('(7,6)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
45,"('(8,6)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
46,"('(9,2)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
47,"('(6,9)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
48,"('(9,8)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
49,"('(4,4)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
50,"('(3,5)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
51,"('(7,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
52,"('(2,1)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
