,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('(8,2)', 'input_a == 8')",2,"('MR2_checker == No-violated', 'input_b == 2')",2,1.0,0.01,14.285714285714286,929999999.9999999
1,"('(8,2)', 'MR2_checker == No-violated')",2,"('input_a == 8', 'input_b == 2')",2,1.0,0.01,100.0,989999999.9999999
2,"('(8,2)',)",1,"('MR2_checker == No-violated', 'input_a == 8', 'input_b == 2')",3,1.0,0.01,100.0,989999999.9999999
3,"('input_a == 4', 'input_b == 3')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,2.2222222222222223,550000000.0
4,"('(6,4)',)",1,"('MR2_checker == No-violated',)",1,1.0,0.01,2.2222222222222223,550000000.0
5,"('(1,5)',)",1,"('MR2_checker == Violated', 'input_a == 1', 'input_b == 5')",3,1.0,0.01,100.0,989999999.9999999
6,"('(8,9)',)",1,"('input_b == 9',)",1,1.0,0.01,10.0,900000000.0
7,"('(7,8)',)",1,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
8,"('MR2_checker == No-violated', 'input_a == 6', 'input_b == 4')",3,"('(6,4)',)",1,1.0,0.01,100.0,989999999.9999999
9,"('(6,4)', 'input_a == 6', 'input_b == 4')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,2.2222222222222223,550000000.0
10,"('(1,1)',)",1,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
11,"('(6,4)', 'MR2_checker == No-violated', 'input_b == 4')",3,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
12,"('(6,4)', 'MR2_checker == No-violated', 'input_a == 6')",3,"('input_b == 4',)",1,1.0,0.01,10.0,900000000.0
13,"('input_a == 6', 'input_b == 4')",2,"('(6,4)', 'MR2_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
14,"('(6,4)', 'input_b == 4')",2,"('MR2_checker == No-violated', 'input_a == 6')",2,1.0,0.01,16.666666666666668,939999999.9999999
15,"('(6,4)', 'input_a == 6')",2,"('MR2_checker == No-violated', 'input_b == 4')",2,1.0,0.01,20.0,949999999.9999999
16,"('(6,4)', 'MR2_checker == No-violated')",2,"('input_a == 6', 'input_b == 4')",2,1.0,0.01,100.0,989999999.9999999
17,"('(6,4)',)",1,"('MR2_checker == No-violated', 'input_a == 6', 'input_b == 4')",3,1.0,0.01,100.0,989999999.9999999
18,"('(6,0)',)",1,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
19,"('(3,5)', 'input_a == 3')",2,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
20,"('(3,5)', 'MR2_checker == Violated')",2,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
21,"('(3,5)',)",1,"('MR2_checker == Violated', 'input_a == 3')",2,1.0,0.01,14.285714285714286,929999999.9999999
22,"('(2,9)', 'input_a == 2')",2,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
23,"('(2,9)', 'MR2_checker == Violated')",2,"('input_a == 2',)",1,1.0,0.01,10.0,900000000.0
24,"('(2,9)',)",1,"('MR2_checker == Violated', 'input_a == 2')",2,1.0,0.01,12.5,920000000.0
25,"('(1,9)',)",1,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
26,"('input_a == 3', 'input_b == 0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,2.2222222222222223,550000000.0
27,"('(7,3)',)",1,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
28,"('(3,9)',)",1,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
29,"('(6,7)',)",1,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
30,"('input_a == 8', 'input_b == 5')",2,"('(8,5)',)",1,1.0,0.01,100.0,989999999.9999999
31,"('(8,5)', 'input_b == 5')",2,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
32,"('(8,5)', 'input_a == 8')",2,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
33,"('(8,5)',)",1,"('input_a == 8', 'input_b == 5')",2,1.0,0.01,100.0,989999999.9999999
34,"('(4,6)',)",1,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
35,"('(0,1)',)",1,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
36,"('(2,5)',)",1,"('MR2_checker == Violated', 'input_a == 2', 'input_b == 5')",3,1.0,0.01,100.0,989999999.9999999
37,"('input_a == 1', 'input_b == 2')",2,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
38,"('input_a == 6', 'input_b == 3')",2,"('(6,3)',)",1,1.0,0.01,100.0,989999999.9999999
39,"('(6,3)', 'input_b == 3')",2,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
40,"('(6,3)', 'input_a == 6')",2,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
41,"('(6,3)',)",1,"('input_a == 6', 'input_b == 3')",2,1.0,0.01,100.0,989999999.9999999
42,"('input_a == 5', 'input_b == 7')",2,"('(5,7)',)",1,1.0,0.01,100.0,989999999.9999999
43,"('(5,7)', 'input_b == 7')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
44,"('(5,7)', 'input_a == 5')",2,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
45,"('(5,7)',)",1,"('input_a == 5', 'input_b == 7')",2,1.0,0.01,100.0,989999999.9999999
46,"('(4,3)',)",1,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
47,"('(1,6)', 'input_a == 1')",2,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
48,"('(1,6)', 'MR2_checker == Violated')",2,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
49,"('(1,6)',)",1,"('MR2_checker == Violated', 'input_a == 1')",2,1.0,0.01,11.111111111111112,910000000.0
50,"('(5,0)',)",1,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
51,"('(7,7)',)",1,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
52,"('(7,5)', 'input_b == 5')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,2.2222222222222223,550000000.0
53,"('(7,5)', 'MR2_checker == No-violated')",2,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
54,"('(7,5)',)",1,"('MR2_checker == No-violated', 'input_b == 5')",2,1.0,0.01,25.0,959999999.9999999
55,"('(3,3)',)",1,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
56,"('(1,9)', 'input_a == 1')",2,"('MR2_checker == Violated',)",1,1.0,0.01,1.8181818181818183,449999999.99999994
57,"('(1,9)', 'MR2_checker == Violated')",2,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
