,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('MR2_input_b == 12.0', 'input_b == 2')",2,"('MR2_checker == No-violated',)",1,1.0,0.1,1.0101010101010102,10000000.000000007
1,"('MR2_checker == No-violated', 'input_b == 2')",2,"('MR2_input_b == 12.0',)",1,1.0,0.1,10.0,900000000.0
2,"('MR2_checker == No-violated', 'MR2_input_b == 12.0')",2,"('input_b == 2',)",1,1.0,0.1,10.0,900000000.0
3,"('input_b == 2',)",1,"('MR2_checker == No-violated', 'MR2_input_b == 12.0')",2,1.0,0.1,10.0,900000000.0
4,"('input_a == 4',)",1,"('MR2_input_a == 24.0',)",1,1.0,0.1,10.0,900000000.0
5,"('MR2_input_a == 24.0',)",1,"('input_a == 4',)",1,1.0,0.1,10.0,900000000.0
6,"('MR2_input_b == 12.0',)",1,"('MR2_checker == No-violated', 'input_b == 2')",2,1.0,0.1,10.0,900000000.0
7,"('input_b == 0',)",1,"('MR2_input_b == 0.0',)",1,1.0,0.1,10.0,900000000.0
8,"('MR2_input_b == 0.0',)",1,"('input_b == 0',)",1,1.0,0.1,10.0,900000000.0
9,"('MR2_checker == No-violated', 'input_a == 1')",2,"('MR2_input_a == 6.0',)",1,1.0,0.1,10.0,900000000.0
10,"('MR2_checker == No-violated', 'MR2_input_a == 6.0')",2,"('input_a == 1',)",1,1.0,0.1,10.0,900000000.0
11,"('input_a == 3',)",1,"('MR2_input_a == 18.0',)",1,1.0,0.1,10.0,900000000.0
12,"('MR2_input_a == 18.0',)",1,"('input_a == 3',)",1,1.0,0.1,10.0,900000000.0
13,"('input_a == 1',)",1,"('MR2_checker == No-violated', 'MR2_input_a == 6.0')",2,1.0,0.1,10.0,900000000.0
14,"('MR2_input_a == 6.0',)",1,"('MR2_checker == No-violated', 'input_a == 1')",2,1.0,0.1,10.0,900000000.0
15,"('MR2_input_b == 24.0', 'input_b == 4')",2,"('MR2_checker == No-violated',)",1,1.0,0.1,1.0101010101010102,10000000.000000007
16,"('MR2_checker == No-violated', 'input_b == 4')",2,"('MR2_input_b == 24.0',)",1,1.0,0.1,10.0,900000000.0
17,"('MR2_checker == No-violated', 'MR2_input_b == 24.0')",2,"('input_b == 4',)",1,1.0,0.1,10.0,900000000.0
18,"('input_b == 4',)",1,"('MR2_checker == No-violated', 'MR2_input_b == 24.0')",2,1.0,0.1,10.0,900000000.0
19,"('MR2_input_b == 24.0',)",1,"('MR2_checker == No-violated', 'input_b == 4')",2,1.0,0.1,10.0,900000000.0
