,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('(4,3)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
1,"('(9,1)', 'input_a == 9')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
2,"('(9,1)', 'MR3_checker == No-violated')",2,"('input_a == 9',)",1,1.0,0.01,10.0,900000000.0
3,"('(9,1)',)",1,"('MR3_checker == No-violated', 'input_a == 9')",2,1.0,0.01,10.0,900000000.0
4,"('(0,8)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
5,"('(9,8)', 'input_b == 8')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
6,"('(9,8)', 'MR3_checker == No-violated')",2,"('input_b == 8',)",1,1.0,0.01,10.0,900000000.0
7,"('(9,8)',)",1,"('MR3_checker == No-violated', 'input_b == 8')",2,1.0,0.01,10.0,900000000.0
8,"('(4,6)',)",1,"('MR3_checker == No-violated', 'input_a == 4', 'input_b == 6')",3,1.0,0.01,100.0,989999999.9999999
9,"('(8,9)',)",1,"('input_b == 9',)",1,1.0,0.01,10.0,900000000.0
10,"('(5,4)', 'input_a == 5')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
11,"('(5,4)', 'MR3_checker == No-violated')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
12,"('(5,4)',)",1,"('MR3_checker == No-violated', 'input_a == 5')",2,1.0,0.01,10.0,900000000.0
13,"('(7,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
14,"('(6,0)',)",1,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
15,"('(1,9)',)",1,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
16,"('(6,0)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
17,"('(3,4)', 'input_a == 3')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
18,"('(3,4)', 'MR3_checker == No-violated')",2,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
19,"('(3,4)',)",1,"('MR3_checker == No-violated', 'input_a == 3')",2,1.0,0.01,10.0,900000000.0
20,"('(0,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
21,"('(7,3)',)",1,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
22,"('(3,9)',)",1,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
23,"('input_a == 8', 'input_b == 5')",2,"('(8,5)',)",1,1.0,0.01,100.0,989999999.9999999
24,"('(8,5)', 'input_b == 5')",2,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
25,"('(8,5)', 'input_a == 8')",2,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
26,"('(8,5)',)",1,"('input_a == 8', 'input_b == 5')",2,1.0,0.01,100.0,989999999.9999999
27,"('(4,3)', 'input_a == 4')",2,"('MR3_checker == No-violated', 'input_b == 3')",2,1.0,0.01,10.0,900000000.0
28,"('(4,6)',)",1,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
29,"('(4,3)', 'MR3_checker == No-violated')",2,"('input_a == 4', 'input_b == 3')",2,1.0,0.01,100.0,989999999.9999999
30,"('(4,3)',)",1,"('MR3_checker == No-violated', 'input_a == 4', 'input_b == 3')",3,1.0,0.01,100.0,989999999.9999999
31,"('(7,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
32,"('input_a == 6', 'input_b == 3')",2,"('(6,3)',)",1,1.0,0.01,100.0,989999999.9999999
33,"('(6,3)', 'input_b == 3')",2,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
34,"('(6,3)', 'input_a == 6')",2,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
35,"('(6,3)',)",1,"('input_a == 6', 'input_b == 3')",2,1.0,0.01,100.0,989999999.9999999
36,"('input_a == 5', 'input_b == 7')",2,"('(5,7)',)",1,1.0,0.01,100.0,989999999.9999999
37,"('(5,7)', 'input_b == 7')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
38,"('(6,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
39,"('(5,7)', 'input_a == 5')",2,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
40,"('(5,7)',)",1,"('input_a == 5', 'input_b == 7')",2,1.0,0.01,100.0,989999999.9999999
41,"('(4,3)',)",1,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
42,"('(0,8)', 'input_b == 8')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
43,"('(0,8)', 'MR3_checker == No-violated')",2,"('input_b == 8',)",1,1.0,0.01,10.0,900000000.0
44,"('(0,8)',)",1,"('MR3_checker == No-violated', 'input_b == 8')",2,1.0,0.01,10.0,900000000.0
45,"('(5,0)',)",1,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
46,"('(3,3)',)",1,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
47,"('(7,5)',)",1,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
48,"('(8,9)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
49,"('(5,7)', 'input_a == 5')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
50,"('(1,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
51,"('(5,7)', 'MR3_checker == No-violated')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
52,"('(5,7)',)",1,"('MR3_checker == No-violated', 'input_a == 5')",2,1.0,0.01,10.0,900000000.0
53,"('(8,2)',)",1,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
54,"('input_a == 1', 'input_b == 9')",2,"('(1,9)',)",1,1.0,0.01,100.0,989999999.9999999
55,"('(1,9)', 'input_b == 9')",2,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
56,"('(1,9)', 'input_a == 1')",2,"('input_b == 9',)",1,1.0,0.01,10.0,900000000.0
57,"('(1,9)',)",1,"('input_a == 1', 'input_b == 9')",2,1.0,0.01,100.0,989999999.9999999
58,"('(3,2)', 'input_b == 2')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
59,"('(3,2)', 'MR3_checker == No-violated')",2,"('input_b == 2',)",1,1.0,0.01,10.0,900000000.0
60,"('(3,2)',)",1,"('MR3_checker == No-violated', 'input_b == 2')",2,1.0,0.01,10.0,900000000.0
61,"('(1,8)',)",1,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
62,"('(9,3)',)",1,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
63,"('(5,1)',)",1,"('input_b == 1',)",1,1.0,0.01,10.0,900000000.0
64,"('input_a == 7', 'input_b == 4')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
65,"('MR3_checker == No-violated', 'input_a == 4', 'input_b == 5')",3,"('(4,5)',)",1,1.0,0.01,100.0,989999999.9999999
66,"('(4,5)', 'input_a == 4', 'input_b == 5')",3,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
67,"('(4,5)', 'MR3_checker == No-violated', 'input_b == 5')",3,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
68,"('(4,5)', 'MR3_checker == No-violated', 'input_a == 4')",3,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
69,"('input_a == 4', 'input_b == 5')",2,"('(4,5)', 'MR3_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
70,"('(4,5)', 'input_b == 5')",2,"('MR3_checker == No-violated', 'input_a == 4')",2,1.0,0.01,10.0,900000000.0
71,"('(4,5)', 'input_a == 4')",2,"('MR3_checker == No-violated', 'input_b == 5')",2,1.0,0.01,10.0,900000000.0
72,"('(4,5)', 'MR3_checker == No-violated')",2,"('input_a == 4', 'input_b == 5')",2,1.0,0.01,100.0,989999999.9999999
73,"('(4,1)', 'input_a == 4')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
74,"('(4,1)', 'MR3_checker == No-violated')",2,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
75,"('(4,1)',)",1,"('MR3_checker == No-violated', 'input_a == 4')",2,1.0,0.01,10.0,900000000.0
76,"('(7,7)',)",1,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
77,"('(5,6)', 'MR3_checker == No-violated', 'input_a == 5')",3,"('input_b == 6',)",1,1.0,0.01,10.0,900000000.0
78,"('input_a == 5', 'input_b == 6')",2,"('(5,6)', 'MR3_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
79,"('(5,6)', 'input_b == 6')",2,"('MR3_checker == No-violated', 'input_a == 5')",2,1.0,0.01,10.0,900000000.0
80,"('(5,6)', 'input_a == 5')",2,"('MR3_checker == No-violated', 'input_b == 6')",2,1.0,0.01,10.0,900000000.0
81,"('(5,6)', 'MR3_checker == No-violated')",2,"('input_a == 5', 'input_b == 6')",2,1.0,0.01,100.0,989999999.9999999
82,"('(5,6)',)",1,"('MR3_checker == No-violated', 'input_a == 5', 'input_b == 6')",3,1.0,0.01,100.0,989999999.9999999
83,"('MR3_checker == No-violated', 'input_a == 5', 'input_b == 2')",3,"('(5,2)',)",1,1.0,0.01,100.0,989999999.9999999
84,"('(5,2)', 'input_a == 5', 'input_b == 2')",3,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
85,"('input_a == 5', 'input_b == 7')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
86,"('(5,2)', 'MR3_checker == No-violated', 'input_b == 2')",3,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
87,"('(5,2)', 'MR3_checker == No-violated', 'input_a == 5')",3,"('input_b == 2',)",1,1.0,0.01,10.0,900000000.0
88,"('input_a == 5', 'input_b == 2')",2,"('(5,2)', 'MR3_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
89,"('(5,2)', 'input_b == 2')",2,"('MR3_checker == No-violated', 'input_a == 5')",2,1.0,0.01,10.0,900000000.0
90,"('(5,2)', 'input_a == 5')",2,"('MR3_checker == No-violated', 'input_b == 2')",2,1.0,0.01,10.0,900000000.0
91,"('(5,2)', 'MR3_checker == No-violated')",2,"('input_a == 5', 'input_b == 2')",2,1.0,0.01,100.0,989999999.9999999
92,"('(5,2)',)",1,"('MR3_checker == No-violated', 'input_a == 5', 'input_b == 2')",3,1.0,0.01,100.0,989999999.9999999
93,"('(4,7)',)",1,"('input_a == 4', 'input_b == 7')",2,1.0,0.01,100.0,989999999.9999999
94,"('input_a == 4', 'input_b == 7')",2,"('(4,7)',)",1,1.0,0.01,100.0,989999999.9999999
95,"('(4,7)', 'input_b == 7')",2,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
96,"('(4,7)', 'input_a == 4')",2,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
97,"('input_a == 1', 'input_b == 9')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
98,"('(6,5)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
99,"('(3,5)',)",1,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
100,"('(0,3)', 'input_a == 0')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
101,"('(0,3)', 'MR3_checker == No-violated')",2,"('input_a == 0',)",1,1.0,0.01,10.0,900000000.0
102,"('(0,3)',)",1,"('MR3_checker == No-violated', 'input_a == 0')",2,1.0,0.01,10.0,900000000.0
103,"('MR3_checker == No-violated', 'input_a == 1', 'input_b == 7')",3,"('(1,7)',)",1,1.0,0.01,100.0,989999999.9999999
104,"('(1,7)', 'input_a == 1', 'input_b == 7')",3,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
105,"('(1,7)', 'MR3_checker == No-violated', 'input_b == 7')",3,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
106,"('(1,7)', 'MR3_checker == No-violated', 'input_a == 1')",3,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
107,"('input_a == 1', 'input_b == 7')",2,"('(1,7)', 'MR3_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
108,"('(1,7)', 'input_b == 7')",2,"('MR3_checker == No-violated', 'input_a == 1')",2,1.0,0.01,10.0,900000000.0
109,"('(1,7)', 'input_a == 1')",2,"('MR3_checker == No-violated', 'input_b == 7')",2,1.0,0.01,10.0,900000000.0
110,"('(1,7)', 'MR3_checker == No-violated')",2,"('input_a == 1', 'input_b == 7')",2,1.0,0.01,100.0,989999999.9999999
111,"('(1,7)',)",1,"('MR3_checker == No-violated', 'input_a == 1', 'input_b == 7')",3,1.0,0.01,100.0,989999999.9999999
112,"('(4,9)', 'input_b == 9')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
113,"('(4,9)', 'MR3_checker == No-violated')",2,"('input_b == 9',)",1,1.0,0.01,10.0,900000000.0
114,"('(4,9)',)",1,"('MR3_checker == No-violated', 'input_b == 9')",2,1.0,0.01,10.0,900000000.0
115,"('MR3_checker == No-violated', 'input_a == 2', 'input_b == 7')",3,"('(2,7)',)",1,1.0,0.01,100.0,989999999.9999999
116,"('input_a == 1', 'input_b == 4')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
117,"('input_a == 7', 'input_b == 6')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
118,"('(2,7)', 'input_a == 2', 'input_b == 7')",3,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
119,"('(2,7)', 'MR3_checker == No-violated', 'input_b == 7')",3,"('input_a == 2',)",1,1.0,0.01,10.0,900000000.0
120,"('(2,7)', 'MR3_checker == No-violated', 'input_a == 2')",3,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
121,"('input_a == 2', 'input_b == 7')",2,"('(2,7)', 'MR3_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
122,"('(2,7)', 'input_b == 7')",2,"('MR3_checker == No-violated', 'input_a == 2')",2,1.0,0.01,10.0,900000000.0
123,"('(2,7)', 'input_a == 2')",2,"('MR3_checker == No-violated', 'input_b == 7')",2,1.0,0.01,10.0,900000000.0
124,"('(0,2)', 'input_b == 2')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
125,"('(0,2)', 'MR3_checker == No-violated')",2,"('input_b == 2',)",1,1.0,0.01,10.0,900000000.0
126,"('(0,2)',)",1,"('MR3_checker == No-violated', 'input_b == 2')",2,1.0,0.01,10.0,900000000.0
127,"('(2,6)', 'input_b == 6')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
128,"('(2,6)', 'MR3_checker == No-violated')",2,"('input_b == 6',)",1,1.0,0.01,10.0,900000000.0
129,"('(2,6)',)",1,"('MR3_checker == No-violated', 'input_b == 6')",2,1.0,0.01,10.0,900000000.0
130,"('(2,2)',)",1,"('input_a == 2',)",1,1.0,0.01,10.0,900000000.0
131,"('input_a == 7', 'input_b == 1')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
132,"('(3,6)', 'input_b == 6')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
133,"('(3,6)', 'MR3_checker == No-violated')",2,"('input_b == 6',)",1,1.0,0.01,10.0,900000000.0
134,"('(3,6)',)",1,"('MR3_checker == No-violated', 'input_b == 6')",2,1.0,0.01,10.0,900000000.0
135,"('input_a == 1', 'input_b == 3')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
136,"('(3,7)',)",1,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
137,"('input_a == 5', 'input_b == 3')",2,"('(5,3)',)",1,1.0,0.01,100.0,989999999.9999999
138,"('(5,3)', 'input_b == 3')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
139,"('(5,3)', 'input_a == 5')",2,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
140,"('(5,3)',)",1,"('input_a == 5', 'input_b == 3')",2,1.0,0.01,100.0,989999999.9999999
141,"('MR3_checker == No-violated', 'input_a == 7', 'input_b == 5')",3,"('(7,5)',)",1,1.0,0.01,100.0,989999999.9999999
142,"('(7,5)', 'input_a == 7', 'input_b == 5')",3,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
143,"('(7,5)', 'MR3_checker == No-violated', 'input_b == 5')",3,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
144,"('(7,5)', 'MR3_checker == No-violated', 'input_a == 7')",3,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
145,"('input_a == 7', 'input_b == 5')",2,"('(7,5)', 'MR3_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
146,"('(7,5)', 'input_b == 5')",2,"('MR3_checker == No-violated', 'input_a == 7')",2,1.0,0.01,10.0,900000000.0
147,"('(7,5)', 'input_a == 7')",2,"('MR3_checker == No-violated', 'input_b == 5')",2,1.0,0.01,10.0,900000000.0
