,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('(9,4)',)",1,"('output == 13.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
1,"('(8,7)', 'output == 15.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
2,"('(8,7)', 'MR1_checker == No-violated')",2,"('output == 15.0',)",1,1.0,0.01,25.0,959999999.9999999
3,"('(8,7)',)",1,"('MR1_checker == No-violated', 'output == 15.0')",2,1.0,0.01,25.0,959999999.9999999
4,"('(8,1)', 'output == 9.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
5,"('(8,1)', 'MR1_checker == No-violated')",2,"('output == 9.0',)",1,1.0,0.01,10.0,900000000.0
6,"('(8,1)',)",1,"('MR1_checker == No-violated', 'output == 9.0')",2,1.0,0.01,10.0,900000000.0
7,"('(4,2)',)",1,"('output == 6.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
8,"('(3,2)', 'output == 5.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
9,"('(3,2)', 'MR1_checker == No-violated')",2,"('output == 5.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
10,"('(3,2)',)",1,"('MR1_checker == No-violated', 'output == 5.0')",2,1.0,0.01,16.666666666666668,939999999.9999999
11,"('(4,8)', 'output == 12.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
12,"('(2,4)', 'output == 6.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
13,"('(7,8)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
14,"('(1,1)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
15,"('(2,4)', 'MR1_checker == No-violated')",2,"('output == 6.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
16,"('(2,4)',)",1,"('MR1_checker == No-violated', 'output == 6.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
17,"('(4,8)', 'MR1_checker == No-violated')",2,"('output == 12.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
18,"('(4,8)',)",1,"('MR1_checker == No-violated', 'output == 12.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
19,"('output == 8.0',)",1,"('MR1_checker == No-violated',)",1,1.0,0.09,1.0,0.0
20,"('(5,9)', 'output == 14.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
21,"('(5,9)', 'MR1_checker == No-violated')",2,"('output == 14.0',)",1,1.0,0.01,20.0,949999999.9999999
22,"('MR1_checker == No-violated', 'output == 0.0')",2,"('(0,0)',)",1,1.0,0.01,100.0,989999999.9999999
23,"('(0,0)', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
24,"('(0,0)', 'MR1_checker == No-violated')",2,"('output == 0.0',)",1,1.0,0.01,100.0,989999999.9999999
25,"('(5,4)',)",1,"('output == 9.0',)",1,1.0,0.01,10.0,900000000.0
26,"('output == 0.0',)",1,"('(0,0)', 'MR1_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
27,"('(0,0)',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.01,100.0,989999999.9999999
28,"('(5,9)',)",1,"('MR1_checker == No-violated', 'output == 14.0')",2,1.0,0.01,20.0,949999999.9999999
29,"('(9,3)',)",1,"('output == 12.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
30,"('(1,8)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
31,"('(6,8)', 'output == 14.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
32,"('(6,8)', 'MR1_checker == No-violated')",2,"('output == 14.0',)",1,1.0,0.01,20.0,949999999.9999999
33,"('(6,8)',)",1,"('MR1_checker == No-violated', 'output == 14.0')",2,1.0,0.01,20.0,949999999.9999999
34,"('(8,3)',)",1,"('output == 11.0',)",1,1.0,0.01,12.5,920000000.0
35,"('(7,5)',)",1,"('output == 12.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
36,"('(7,8)',)",1,"('output == 15.0',)",1,1.0,0.01,25.0,959999999.9999999
37,"('(0,4)',)",1,"('output == 4.0',)",1,1.0,0.01,20.0,949999999.9999999
38,"('(6,2)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
39,"('(2,2)', 'MR1_checker == No-violated')",2,"('output == 4.0',)",1,1.0,0.01,20.0,949999999.9999999
40,"('(2,2)',)",1,"('MR1_checker == No-violated', 'output == 4.0')",2,1.0,0.01,20.0,949999999.9999999
41,"('(2,2)', 'output == 4.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
42,"('(0,8)', 'MR1_checker == No-violated')",2,"('output == 8.0',)",1,1.0,0.01,11.111111111111112,910000000.0
43,"('(0,8)',)",1,"('MR1_checker == No-violated', 'output == 8.0')",2,1.0,0.01,11.111111111111112,910000000.0
44,"('(3,1)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
