,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('MR3_input_b == 11.0',)",1,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
1,"('MR3_input_b == 11.0', 'input_b == 5')",2,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
2,"('MR3_checker == No-violated', 'input_b == 5')",2,"('MR3_input_b == 11.0',)",1,1.0,0.1,10.0,900000000.0
3,"('MR3_checker == No-violated', 'MR3_input_b == 11.0')",2,"('input_b == 5',)",1,1.0,0.1,10.0,900000000.0
4,"('input_b == 5',)",1,"('MR3_checker == No-violated', 'MR3_input_b == 11.0')",2,1.0,0.1,10.0,900000000.0
5,"('MR3_input_b == 11.0',)",1,"('MR3_checker == No-violated', 'input_b == 5')",2,1.0,0.1,10.0,900000000.0
6,"('MR3_input_b == 7.0',)",1,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
7,"('input_b == 5',)",1,"('MR3_input_b == 11.0',)",1,1.0,0.1,10.0,900000000.0
8,"('MR3_input_b == 11.0',)",1,"('input_b == 5',)",1,1.0,0.1,10.0,900000000.0
9,"('MR3_input_b == 12.0',)",1,"('MR3_checker == No-violated', 'input_b == 6')",2,1.0,0.1,10.0,900000000.0
10,"('input_a == 3',)",1,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
11,"('input_a == 3',)",1,"('MR3_input_a == 9.0',)",1,1.0,0.1,10.0,900000000.0
12,"('MR3_input_a == 9.0',)",1,"('input_a == 3',)",1,1.0,0.1,10.0,900000000.0
13,"('input_b == 6',)",1,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
14,"('MR3_input_b == 10.0',)",1,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
15,"('input_a == 9',)",1,"('MR3_input_a == 15.0',)",1,1.0,0.1,10.0,900000000.0
16,"('MR3_input_a == 15.0',)",1,"('input_a == 9',)",1,1.0,0.1,10.0,900000000.0
17,"('input_a == 6',)",1,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
18,"('input_a == 9',)",1,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
19,"('MR3_input_b == 14.0', 'input_b == 8')",2,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
20,"('MR3_checker == No-violated', 'input_b == 8')",2,"('MR3_input_b == 14.0',)",1,1.0,0.1,10.0,900000000.0
21,"('MR3_checker == No-violated', 'MR3_input_b == 14.0')",2,"('input_b == 8',)",1,1.0,0.1,10.0,900000000.0
22,"('input_b == 8',)",1,"('MR3_checker == No-violated', 'MR3_input_b == 14.0')",2,1.0,0.1,10.0,900000000.0
23,"('MR3_input_b == 14.0',)",1,"('MR3_checker == No-violated', 'input_b == 8')",2,1.0,0.1,10.0,900000000.0
24,"('MR3_input_b == 15.0', 'input_b == 9')",2,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
25,"('MR3_checker == No-violated', 'input_b == 9')",2,"('MR3_input_b == 15.0',)",1,1.0,0.1,10.0,900000000.0
26,"('MR3_checker == No-violated', 'MR3_input_b == 15.0')",2,"('input_b == 9',)",1,1.0,0.1,10.0,900000000.0
27,"('input_b == 9',)",1,"('MR3_checker == No-violated', 'MR3_input_b == 15.0')",2,1.0,0.1,10.0,900000000.0
28,"('MR3_input_b == 15.0',)",1,"('MR3_checker == No-violated', 'input_b == 9')",2,1.0,0.1,10.0,900000000.0
29,"('MR3_input_b == 7.0', 'input_b == 1')",2,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
30,"('MR3_checker == No-violated', 'input_b == 1')",2,"('MR3_input_b == 7.0',)",1,1.0,0.1,10.0,900000000.0
31,"('MR3_checker == No-violated', 'MR3_input_b == 7.0')",2,"('input_b == 1',)",1,1.0,0.1,10.0,900000000.0
32,"('input_b == 1',)",1,"('MR3_checker == No-violated', 'MR3_input_b == 7.0')",2,1.0,0.1,10.0,900000000.0
33,"('MR3_input_b == 7.0',)",1,"('MR3_checker == No-violated', 'input_b == 1')",2,1.0,0.1,10.0,900000000.0
34,"('MR3_input_b == 10.0', 'input_b == 4')",2,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
35,"('MR3_checker == No-violated', 'input_b == 4')",2,"('MR3_input_b == 10.0',)",1,1.0,0.1,10.0,900000000.0
36,"('MR3_checker == No-violated', 'MR3_input_b == 10.0')",2,"('input_b == 4',)",1,1.0,0.1,10.0,900000000.0
37,"('input_b == 4',)",1,"('MR3_checker == No-violated', 'MR3_input_b == 10.0')",2,1.0,0.1,10.0,900000000.0
38,"('MR3_input_b == 10.0',)",1,"('MR3_checker == No-violated', 'input_b == 4')",2,1.0,0.1,10.0,900000000.0
39,"('input_b == 3',)",1,"('MR3_checker == No-violated',)",1,1.0,0.1,1.0,0.0
