,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
164,"('(9,3)',)",1,"('MR1_checker == Violated', 'output == 6.0')",2,1.0,0.01,25.0,959999999.9999999
165,"('(0,8)',)",1,"('output == -8.0',)",1,1.0,0.01,50.0,979999999.9999999
166,"('(0,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
167,"('(1,5)',)",1,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
168,"('(4,7)', 'output == -3.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
169,"('(4,7)', 'MR1_checker == Violated')",2,"('output == -3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
170,"('(4,7)',)",1,"('MR1_checker == Violated', 'output == -3.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
171,"('(4,9)', 'output == -5.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
172,"('(4,9)', 'MR1_checker == Violated')",2,"('output == -5.0',)",1,1.0,0.01,20.0,949999999.9999999
173,"('(7,4)',)",1,"('output == 3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
174,"('(3,4)', 'output == -1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
175,"('(3,4)', 'MR1_checker == Violated')",2,"('output == -1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
176,"('(3,4)',)",1,"('MR1_checker == Violated', 'output == -1.0')",2,1.0,0.01,11.111111111111112,910000000.0
177,"('(4,9)',)",1,"('MR1_checker == Violated', 'output == -5.0')",2,1.0,0.01,20.0,949999999.9999999
178,"('(3,1)', 'output == 2.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
179,"('(3,1)', 'MR1_checker == Violated')",2,"('output == 2.0',)",1,1.0,0.01,12.5,920000000.0
180,"('(3,1)',)",1,"('MR1_checker == Violated', 'output == 2.0')",2,1.0,0.01,12.5,920000000.0
181,"('(7,9)', 'output == -2.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
182,"('(7,9)', 'MR1_checker == Violated')",2,"('output == -2.0',)",1,1.0,0.01,12.5,920000000.0
183,"('(7,9)',)",1,"('MR1_checker == Violated', 'output == -2.0')",2,1.0,0.01,12.5,920000000.0
184,"('(8,0)', 'output == 8.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
185,"('(8,0)', 'MR1_checker == Violated')",2,"('output == 8.0',)",1,1.0,0.01,50.0,979999999.9999999
186,"('(8,0)',)",1,"('MR1_checker == Violated', 'output == 8.0')",2,1.0,0.01,50.0,979999999.9999999
187,"('(4,8)', 'output == -4.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
188,"('(4,8)', 'MR1_checker == Violated')",2,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
189,"('(4,8)',)",1,"('MR1_checker == Violated', 'output == -4.0')",2,1.0,0.01,16.666666666666668,939999999.9999999
190,"('(4,4)', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,10.0,900000000.0
191,"('(4,4)', 'MR1_checker == No-violated')",2,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
192,"('(4,4)',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.01,10.0,900000000.0
193,"('(3,9)', 'output == -6.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
194,"('(0,6)', 'output == -6.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
195,"('(0,6)', 'MR1_checker == Violated')",2,"('output == -6.0',)",1,1.0,0.01,25.0,959999999.9999999
196,"('(0,6)',)",1,"('MR1_checker == Violated', 'output == -6.0')",2,1.0,0.01,25.0,959999999.9999999
197,"('(3,9)', 'MR1_checker == Violated')",2,"('output == -6.0',)",1,1.0,0.01,25.0,959999999.9999999
198,"('(3,9)',)",1,"('MR1_checker == Violated', 'output == -6.0')",2,1.0,0.01,25.0,959999999.9999999
199,"('(7,1)',)",1,"('output == 6.0',)",1,1.0,0.01,25.0,959999999.9999999
200,"('(2,4)',)",1,"('output == -2.0',)",1,1.0,0.01,12.5,920000000.0
201,"('(6,9)', 'output == -3.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
202,"('(6,9)', 'MR1_checker == Violated')",2,"('output == -3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
203,"('(6,9)',)",1,"('MR1_checker == Violated', 'output == -3.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
204,"('(5,1)',)",1,"('output == 4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
205,"('(9,9)',)",1,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
206,"('(6,1)',)",1,"('output == 5.0',)",1,1.0,0.01,20.0,949999999.9999999
207,"('(3,3)', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,10.0,900000000.0
208,"('(0,3)', 'output == -3.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
209,"('(0,3)', 'MR1_checker == Violated')",2,"('output == -3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
210,"('(0,3)',)",1,"('MR1_checker == Violated', 'output == -3.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
211,"('(3,3)', 'MR1_checker == No-violated')",2,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
212,"('(3,3)',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.01,10.0,900000000.0
213,"('(2,7)',)",1,"('output == -5.0',)",1,1.0,0.01,20.0,949999999.9999999
214,"('output == -7.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.03,1.1111111111111112,99999999.99999997
215,"('(9,2)',)",1,"('output == 7.0',)",1,1.0,0.01,33.333333333333336,969999999.9999999
216,"('(2,8)',)",1,"('output == -6.0',)",1,1.0,0.01,25.0,959999999.9999999
217,"('(5,4)',)",1,"('output == 1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
218,"('(7,0)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
219,"('(2,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
220,"('(9,3)',)",1,"('output == 6.0',)",1,1.0,0.01,25.0,959999999.9999999
221,"('output == 7.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.03,1.1111111111111112,99999999.99999997
222,"('(8,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
223,"('(2,5)', 'output == -3.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
224,"('(2,5)', 'MR1_checker == Violated')",2,"('output == -3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
225,"('(2,5)',)",1,"('MR1_checker == Violated', 'output == -3.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
226,"('(7,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
227,"('(1,5)', 'output == -4.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
228,"('(1,5)', 'MR1_checker == Violated')",2,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
229,"('(1,5)',)",1,"('MR1_checker == Violated', 'output == -4.0')",2,1.0,0.01,16.666666666666668,939999999.9999999
230,"('(4,7)',)",1,"('output == -3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
231,"('(4,9)',)",1,"('output == -5.0',)",1,1.0,0.01,20.0,949999999.9999999
232,"('(2,2)',)",1,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
233,"('(3,1)',)",1,"('output == 2.0',)",1,1.0,0.01,12.5,920000000.0
234,"('(9,4)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
235,"('output == 2.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.08,1.1111111111111112,99999999.99999997
236,"('(0,1)', 'output == -1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
237,"('(0,1)', 'MR1_checker == Violated')",2,"('output == -1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
238,"('(0,1)',)",1,"('MR1_checker == Violated', 'output == -1.0')",2,1.0,0.01,11.111111111111112,910000000.0
239,"('(5,4)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
240,"('(4,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
241,"('output == -9.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
242,"('(4,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
243,"('(6,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
244,"('(0,8)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
245,"('output == 4.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.06,1.1111111111111112,99999999.99999997
246,"('(8,4)', 'output == 4.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
247,"('(8,4)', 'MR1_checker == Violated')",2,"('output == 4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
248,"('(6,9)',)",1,"('output == -3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
249,"('(4,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
250,"('(8,4)',)",1,"('MR1_checker == Violated', 'output == 4.0')",2,1.0,0.01,16.666666666666668,939999999.9999999
251,"('(5,6)', 'output == -1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
252,"('(5,6)', 'MR1_checker == Violated')",2,"('output == -1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
253,"('(5,6)',)",1,"('MR1_checker == Violated', 'output == -1.0')",2,1.0,0.01,11.111111111111112,910000000.0
254,"('(8,8)', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,10.0,900000000.0
255,"('(8,8)', 'MR1_checker == No-violated')",2,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
256,"('(8,8)',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.01,10.0,900000000.0
257,"('(2,6)',)",1,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
258,"('(6,1)', 'output == 5.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
