,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('MR3_input_a == 8.0', 'input_b == 8')",2,"('MR3_input_b == 14.0',)",1,1.0,0.01,10.0,900000000.0
1,"('MR3_input_a == 8.0', 'MR3_input_b == 14.0')",2,"('input_b == 8',)",1,1.0,0.01,10.0,900000000.0
2,"('MR3_input_a == 9.0', 'input_b == 8')",2,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
3,"('MR3_input_a == 6.0', 'MR3_input_b == 10.0', 'input_b == 4')",3,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
4,"('MR3_checker == No-violated', 'MR3_input_a == 6.0', 'input_b == 4')",3,"('MR3_input_b == 10.0',)",1,1.0,0.01,10.0,900000000.0
5,"('MR3_checker == No-violated', 'MR3_input_a == 6.0', 'MR3_input_b == 10.0')",3,"('input_b == 4',)",1,1.0,0.01,10.0,900000000.0
6,"('MR3_input_a == 6.0', 'input_b == 4')",2,"('MR3_checker == No-violated', 'MR3_input_b == 10.0')",2,1.0,0.01,10.0,900000000.0
7,"('MR3_input_a == 6.0', 'MR3_input_b == 10.0')",2,"('MR3_checker == No-violated', 'input_b == 4')",2,1.0,0.01,10.0,900000000.0
8,"('input_a == 6', 'input_b == 9')",2,"('MR3_input_b == 15.0',)",1,1.0,0.01,10.0,900000000.0
9,"('MR3_input_b == 15.0', 'input_a == 6')",2,"('input_b == 9',)",1,1.0,0.01,10.0,900000000.0
10,"('MR3_input_a == 8.0', 'MR3_input_b == 9.0', 'input_b == 3')",3,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
11,"('MR3_checker == No-violated', 'MR3_input_a == 8.0', 'input_b == 3')",3,"('MR3_input_b == 9.0',)",1,1.0,0.01,10.0,900000000.0
12,"('MR3_checker == No-violated', 'MR3_input_a == 8.0', 'MR3_input_b == 9.0')",3,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
13,"('MR3_input_a == 8.0', 'input_b == 3')",2,"('MR3_checker == No-violated', 'MR3_input_b == 9.0')",2,1.0,0.01,10.0,900000000.0
14,"('MR3_input_a == 8.0', 'MR3_input_b == 9.0')",2,"('MR3_checker == No-violated', 'input_b == 3')",2,1.0,0.01,10.0,900000000.0
15,"('MR3_checker == No-violated', 'MR3_input_b == 14.0', 'input_a == 0')",3,"('MR3_input_a == 6.0',)",1,1.0,0.01,10.0,900000000.0
16,"('MR3_checker == No-violated', 'MR3_input_a == 6.0', 'MR3_input_b == 14.0')",3,"('input_a == 0',)",1,1.0,0.01,10.0,900000000.0
17,"('MR3_input_a == 12.0', 'MR3_input_b == 6.0', 'input_a == 6', 'input_b == 0')",4,"('MR3_checker == No-violated',)",1,1.0,0.01,1.0,0.0
