,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('input_b == 3',)",1,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
1,"('input_b == 2',)",1,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
2,"('MR3_input_a == 6.0', 'input_a == 0')",2,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
3,"('MR3_checker == Violated', 'input_a == 0')",2,"('MR3_input_a == 6.0',)",1,1.0,0.1,10.0,900000000.0
4,"('MR3_checker == Violated', 'MR3_input_a == 6.0')",2,"('input_a == 0',)",1,1.0,0.1,10.0,900000000.0
5,"('input_a == 0',)",1,"('MR3_checker == Violated', 'MR3_input_a == 6.0')",2,1.0,0.1,10.0,900000000.0
6,"('MR3_input_a == 6.0',)",1,"('MR3_checker == Violated', 'input_a == 0')",2,1.0,0.1,10.0,900000000.0
7,"('input_b == 5',)",1,"('MR3_input_b == 11.0',)",1,1.0,0.1,10.0,900000000.0
8,"('MR3_input_b == 11.0',)",1,"('input_b == 5',)",1,1.0,0.1,10.0,900000000.0
9,"('MR3_input_a == 14.0', 'input_a == 8')",2,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
10,"('MR3_checker == Violated', 'input_a == 8')",2,"('MR3_input_a == 14.0',)",1,1.0,0.1,10.0,900000000.0
11,"('MR3_checker == Violated', 'MR3_input_a == 14.0')",2,"('input_a == 8',)",1,1.0,0.1,10.0,900000000.0
12,"('input_a == 1',)",1,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
13,"('input_a == 8',)",1,"('MR3_checker == Violated', 'MR3_input_a == 14.0')",2,1.0,0.1,10.0,900000000.0
14,"('MR3_input_a == 14.0',)",1,"('MR3_checker == Violated', 'input_a == 8')",2,1.0,0.1,10.0,900000000.0
15,"('input_a == 3',)",1,"('MR3_input_a == 9.0',)",1,1.0,0.1,10.0,900000000.0
16,"('MR3_input_a == 9.0',)",1,"('input_a == 3',)",1,1.0,0.1,10.0,900000000.0
17,"('MR3_input_b == 9.0', 'input_b == 3')",2,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
18,"('MR3_checker == Violated', 'input_b == 3')",2,"('MR3_input_b == 9.0',)",1,1.0,0.1,10.0,900000000.0
19,"('MR3_checker == Violated', 'MR3_input_b == 9.0')",2,"('input_b == 3',)",1,1.0,0.1,10.0,900000000.0
20,"('input_b == 3',)",1,"('MR3_checker == Violated', 'MR3_input_b == 9.0')",2,1.0,0.1,10.0,900000000.0
21,"('MR3_input_b == 9.0',)",1,"('MR3_checker == Violated', 'input_b == 3')",2,1.0,0.1,10.0,900000000.0
22,"('input_a == 9',)",1,"('MR3_input_a == 15.0',)",1,1.0,0.1,10.0,900000000.0
23,"('input_a == 3',)",1,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
24,"('MR3_input_a == 15.0',)",1,"('input_a == 9',)",1,1.0,0.1,10.0,900000000.0
25,"('MR3_input_b == 15.0', 'input_b == 9')",2,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
26,"('MR3_checker == Violated', 'input_b == 9')",2,"('MR3_input_b == 15.0',)",1,1.0,0.1,10.0,900000000.0
27,"('MR3_checker == Violated', 'MR3_input_b == 15.0')",2,"('input_b == 9',)",1,1.0,0.1,10.0,900000000.0
28,"('input_b == 9',)",1,"('MR3_checker == Violated', 'MR3_input_b == 15.0')",2,1.0,0.1,10.0,900000000.0
29,"('MR3_input_b == 15.0',)",1,"('MR3_checker == Violated', 'input_b == 9')",2,1.0,0.1,10.0,900000000.0
30,"('MR3_input_b == 7.0', 'input_b == 1')",2,"('MR3_checker == Violated',)",1,1.0,0.1,1.0,0.0
31,"('MR3_checker == Violated', 'input_b == 1')",2,"('MR3_input_b == 7.0',)",1,1.0,0.1,10.0,900000000.0
