,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('(9,4)',)",1,"('output == 13.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
1,"('(5,0)',)",1,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
2,"('(7,5)', 'output == 12.0')",2,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
3,"('(7,5)', 'MR4_checker == Violated')",2,"('output == 12.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
4,"('(1,8)',)",1,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
5,"('(7,5)',)",1,"('MR4_checker == Violated', 'output == 12.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
6,"('output == 0.0',)",1,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
7,"('(4,7)',)",1,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
8,"('output == 8.0',)",1,"('MR4_checker == Violated',)",1,1.0,0.09,1.0,0.0
9,"('(3,1)', 'output == 4.0')",2,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
10,"('(3,1)', 'MR4_checker == Violated')",2,"('output == 4.0',)",1,1.0,0.01,20.0,949999999.9999999
11,"('(4,2)',)",1,"('output == 6.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
12,"('(3,1)',)",1,"('MR4_checker == Violated', 'output == 4.0')",2,1.0,0.01,20.0,949999999.9999999
13,"('(8,1)',)",1,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
14,"('(9,6)', 'output == 15.0')",2,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
15,"('(9,6)', 'MR4_checker == Violated')",2,"('output == 15.0',)",1,1.0,0.01,25.0,959999999.9999999
16,"('(9,6)',)",1,"('MR4_checker == Violated', 'output == 15.0')",2,1.0,0.01,25.0,959999999.9999999
17,"('(5,4)',)",1,"('output == 9.0',)",1,1.0,0.01,10.0,900000000.0
18,"('(1,1)',)",1,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
19,"('(4,4)', 'output == 8.0')",2,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
20,"('(4,4)', 'MR4_checker == Violated')",2,"('output == 8.0',)",1,1.0,0.01,11.111111111111112,910000000.0
21,"('(4,4)',)",1,"('MR4_checker == Violated', 'output == 8.0')",2,1.0,0.01,11.111111111111112,910000000.0
22,"('(9,5)',)",1,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
23,"('(6,8)',)",1,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
24,"('(2,9)', 'output == 11.0')",2,"('MR4_checker == Violated',)",1,1.0,0.01,1.0,0.0
25,"('(2,9)', 'MR4_checker == Violated')",2,"('output == 11.0',)",1,1.0,0.01,12.5,920000000.0
