,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
1515,"('MR2_input_b == 0.0', 'input_a == 2')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1516,"('MR2_input_a == 42.0', 'MR2_input_b == 18.0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1517,"('MR2_input_a == 30.0', 'MR2_input_b == 54.0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1518,"('MR2_input_b == 42.0', 'input_a == 9', 'input_b == 7')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1519,"('MR2_checker == No-violated', 'input_a == 9', 'input_b == 7')",3,"('MR2_input_b == 42.0',)",1,1.0,0.01,10.0,900000000.0
1520,"('MR2_checker == No-violated', 'MR2_input_b == 42.0', 'input_a == 9')",3,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
1521,"('input_a == 9', 'input_b == 7')",2,"('MR2_checker == No-violated', 'MR2_input_b == 42.0')",2,1.0,0.01,10.0,900000000.0
1522,"('MR2_input_b == 42.0', 'input_a == 9')",2,"('MR2_checker == No-violated', 'input_b == 7')",2,1.0,0.01,10.0,900000000.0
1523,"('MR2_input_b == 36.0', 'input_a == 6')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1524,"('MR2_input_a == 42.0', 'MR2_input_b == 36.0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1525,"('input_a == 3', 'input_b == 4')",2,"('MR2_input_a == 18.0',)",1,1.0,0.01,10.0,900000000.0
1526,"('MR2_input_a == 18.0', 'input_b == 4')",2,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
1527,"('MR2_input_a == 42.0', 'MR2_input_b == 36.0', 'input_a == 7', 'input_b == 6')",4,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1528,"('MR2_checker == No-violated', 'MR2_input_b == 36.0', 'input_a == 7', 'input_b == 6')",4,"('MR2_input_a == 42.0',)",1,1.0,0.01,10.0,900000000.0
1529,"('MR2_checker == No-violated', 'MR2_input_a == 42.0', 'input_a == 7', 'input_b == 6')",4,"('MR2_input_b == 36.0',)",1,1.0,0.01,10.0,900000000.0
1530,"('MR2_checker == No-violated', 'MR2_input_a == 42.0', 'MR2_input_b == 36.0', 'input_b == 6')",4,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
1531,"('MR2_checker == No-violated', 'MR2_input_a == 42.0', 'MR2_input_b == 36.0', 'input_a == 7')",4,"('input_b == 6',)",1,1.0,0.01,10.0,900000000.0
1532,"('MR2_input_b == 36.0', 'input_a == 7', 'input_b == 6')",3,"('MR2_checker == No-violated', 'MR2_input_a == 42.0')",2,1.0,0.01,10.0,900000000.0
1533,"('MR2_input_b == 24.0', 'input_a == 9', 'input_b == 4')",3,"('MR2_input_a == 54.0',)",1,1.0,0.01,10.0,900000000.0
1534,"('MR2_input_a == 54.0', 'input_a == 9', 'input_b == 4')",3,"('MR2_input_b == 24.0',)",1,1.0,0.01,10.0,900000000.0
1535,"('MR2_input_a == 54.0', 'MR2_input_b == 24.0', 'input_b == 4')",3,"('input_a == 9',)",1,1.0,0.01,10.0,900000000.0
1536,"('MR2_input_a == 54.0', 'MR2_input_b == 24.0', 'input_a == 9')",3,"('input_b == 4',)",1,1.0,0.01,10.0,900000000.0
1537,"('input_a == 9', 'input_b == 4')",2,"('MR2_input_a == 54.0', 'MR2_input_b == 24.0')",2,1.0,0.01,100.0,989999999.9999999
1538,"('MR2_input_b == 24.0', 'input_a == 9')",2,"('MR2_input_a == 54.0', 'input_b == 4')",2,1.0,0.01,100.0,989999999.9999999
1539,"('MR2_input_a == 54.0', 'input_b == 4')",2,"('MR2_input_b == 24.0', 'input_a == 9')",2,1.0,0.01,100.0,989999999.9999999
