,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('input_a == 4', 'input_b == 3')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1,"('(6,4)',)",1,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
2,"('(8,9)',)",1,"('input_b == 9',)",1,1.0,0.01,10.0,900000000.0
3,"('MR2_checker == No-violated', 'input_a == 6', 'input_b == 4')",3,"('(6,4)',)",1,1.0,0.01,100.0,989999999.9999999
4,"('(6,4)', 'input_a == 6', 'input_b == 4')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
5,"('(6,4)', 'MR2_checker == No-violated', 'input_b == 4')",3,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
6,"('(6,4)', 'MR2_checker == No-violated', 'input_a == 6')",3,"('input_b == 4',)",1,1.0,0.01,10.0,900000000.0
7,"('input_a == 6', 'input_b == 4')",2,"('(6,4)', 'MR2_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
8,"('(6,4)', 'input_b == 4')",2,"('MR2_checker == No-violated', 'input_a == 6')",2,1.0,0.01,10.0,900000000.0
9,"('(6,4)', 'input_a == 6')",2,"('MR2_checker == No-violated', 'input_b == 4')",2,1.0,0.01,10.0,900000000.0
10,"('(6,4)', 'MR2_checker == No-violated')",2,"('input_a == 6', 'input_b == 4')",2,1.0,0.01,100.0,989999999.9999999
11,"('(6,4)',)",1,"('MR2_checker == No-violated', 'input_a == 6', 'input_b == 4')",3,1.0,0.01,100.0,989999999.9999999
12,"('(6,0)',)",1,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
13,"('(1,9)',)",1,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
14,"('input_a == 3', 'input_b == 0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
15,"('(7,3)',)",1,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
16,"('(3,9)',)",1,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
17,"('input_a == 8', 'input_b == 5')",2,"('(8,5)',)",1,1.0,0.01,100.0,989999999.9999999
18,"('(8,5)', 'input_b == 5')",2,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
19,"('(8,5)', 'input_a == 8')",2,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
20,"('(8,5)',)",1,"('input_a == 8', 'input_b == 5')",2,1.0,0.01,100.0,989999999.9999999
21,"('(4,6)',)",1,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
22,"('(3,6)', 'MR2_checker == No-violated')",2,"('input_a == 3', 'input_b == 6')",2,1.0,0.01,100.0,989999999.9999999
23,"('(3,6)',)",1,"('MR2_checker == No-violated', 'input_a == 3', 'input_b == 6')",3,1.0,0.01,100.0,989999999.9999999
24,"('input_a == 6', 'input_b == 3')",2,"('(6,3)',)",1,1.0,0.01,100.0,989999999.9999999
25,"('(6,3)', 'input_b == 3')",2,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
26,"('(6,3)', 'input_a == 6')",2,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
27,"('(6,3)',)",1,"('input_a == 6', 'input_b == 3')",2,1.0,0.01,100.0,989999999.9999999
28,"('input_a == 5', 'input_b == 7')",2,"('(5,7)',)",1,1.0,0.01,100.0,989999999.9999999
29,"('(5,7)', 'input_b == 7')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
30,"('(5,7)', 'input_a == 5')",2,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
31,"('(5,7)',)",1,"('input_a == 5', 'input_b == 7')",2,1.0,0.01,100.0,989999999.9999999
32,"('(4,3)',)",1,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
33,"('(3,8)',)",1,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
34,"('(5,0)',)",1,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
35,"('(7,5)', 'input_b == 5')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
36,"('(7,5)', 'MR2_checker == No-violated')",2,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
37,"('(7,5)',)",1,"('MR2_checker == No-violated', 'input_b == 5')",2,1.0,0.01,10.0,900000000.0
38,"('(3,3)',)",1,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
39,"('(5,9)', 'input_a == 5')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
40,"('input_a == 9',)",1,"('MR2_checker == No-violated',)",1,1.0,0.1,1.0101010101010102,10000000.000000007
41,"('(5,9)', 'MR2_checker == No-violated')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
42,"('(7,5)',)",1,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
43,"('(5,9)',)",1,"('MR2_checker == No-violated', 'input_a == 5')",2,1.0,0.01,10.0,900000000.0
44,"('input_a == 2', 'input_b == 0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
45,"('(4,0)',)",1,"('MR2_checker == No-violated', 'input_a == 4', 'input_b == 0')",3,1.0,0.01,100.0,989999999.9999999
46,"('(0,7)', 'input_a == 0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
47,"('(0,7)', 'MR2_checker == No-violated')",2,"('input_a == 0',)",1,1.0,0.01,10.0,900000000.0
48,"('(0,7)',)",1,"('MR2_checker == No-violated', 'input_a == 0')",2,1.0,0.01,11.111111111111112,910000000.0
49,"('(3,6)', 'input_a == 3')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
50,"('(3,6)', 'MR2_checker == No-violated')",2,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
51,"('(3,6)',)",1,"('MR2_checker == No-violated', 'input_a == 3')",2,1.0,0.01,10.0,900000000.0
52,"('(8,2)',)",1,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
53,"('input_a == 8', 'input_b == 2')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
54,"('input_a == 7', 'input_b == 4')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
55,"('input_a == 1', 'input_b == 9')",2,"('(1,9)',)",1,1.0,0.01,100.0,989999999.9999999
