,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('MR1_checker == No-violated', 'input_a == 4', 'input_b == 3')",3,"('MR1_input_a == 3.0', 'MR1_input_b == 4.0')",2,1.0,0.01,100.0,989999999.9999999
1,"('MR1_input_a == 7.0', 'MR1_input_b == 1.0', 'input_a == 1', 'input_b == 7')",4,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
2,"('input_a == 7', 'input_b == 8')",2,"('MR1_input_a == 8.0',)",1,1.0,0.01,10.0,900000000.0
3,"('MR1_input_a == 8.0', 'input_a == 7')",2,"('input_b == 8',)",1,1.0,0.01,10.0,900000000.0
4,"('MR1_checker == No-violated', 'MR1_input_b == 1.0', 'input_a == 1', 'input_b == 7')",4,"('MR1_input_a == 7.0',)",1,1.0,0.01,10.0,900000000.0
5,"('MR1_input_a == 4.0', 'MR1_input_b == 1.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
6,"('MR1_checker == No-violated', 'MR1_input_a == 7.0', 'input_a == 1', 'input_b == 7')",4,"('MR1_input_b == 1.0',)",1,1.0,0.01,10.0,900000000.0
7,"('MR1_checker == No-violated', 'MR1_input_a == 7.0', 'MR1_input_b == 1.0', 'input_b == 7')",4,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
8,"('MR1_checker == No-violated', 'MR1_input_a == 7.0', 'MR1_input_b == 1.0', 'input_a == 1')",4,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
9,"('MR1_input_b == 1.0', 'input_a == 1', 'input_b == 7')",3,"('MR1_checker == No-violated', 'MR1_input_a == 7.0')",2,1.0,0.01,10.0,900000000.0
10,"('MR1_input_a == 7.0', 'input_a == 1', 'input_b == 7')",3,"('MR1_checker == No-violated', 'MR1_input_b == 1.0')",2,1.0,0.01,10.0,900000000.0
11,"('input_a == 5', 'input_b == 2')",2,"('MR1_input_a == 2.0',)",1,1.0,0.01,10.0,900000000.0
