,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('(8,1)', 'input_a == 8')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
1,"('(8,1)', 'MR1_checker == No-violated')",2,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
2,"('(8,1)',)",1,"('MR1_checker == No-violated', 'input_a == 8')",2,1.0,0.01,10.0,900000000.0
3,"('input_a == 3', 'input_b == 5')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
4,"('(4,4)', 'input_a == 4')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
5,"('(4,4)', 'MR1_checker == No-violated')",2,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
6,"('(4,4)',)",1,"('MR1_checker == No-violated', 'input_a == 4')",2,1.0,0.01,10.0,900000000.0
7,"('MR1_checker == No-violated', 'input_a == 0', 'input_b == 5')",3,"('(0,5)',)",1,1.0,0.01,100.0,989999999.9999999
8,"('(0,5)', 'input_a == 0', 'input_b == 5')",3,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
9,"('(0,5)', 'MR1_checker == No-violated', 'input_b == 5')",3,"('input_a == 0',)",1,1.0,0.01,10.0,900000000.0
10,"('(0,5)', 'MR1_checker == No-violated', 'input_a == 0')",3,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
11,"('input_a == 0', 'input_b == 5')",2,"('(0,5)', 'MR1_checker == No-violated')",2,1.0,0.01,100.0,989999999.9999999
12,"('(0,5)', 'input_b == 5')",2,"('MR1_checker == No-violated', 'input_a == 0')",2,1.0,0.01,10.0,900000000.0
13,"('(0,5)', 'input_a == 0')",2,"('MR1_checker == No-violated', 'input_b == 5')",2,1.0,0.01,10.0,900000000.0
14,"('(0,5)', 'MR1_checker == No-violated')",2,"('input_a == 0', 'input_b == 5')",2,1.0,0.01,100.0,989999999.9999999
15,"('(0,5)',)",1,"('MR1_checker == No-violated', 'input_a == 0', 'input_b == 5')",3,1.0,0.01,100.0,989999999.9999999
16,"('(8,9)',)",1,"('input_b == 9',)",1,1.0,0.01,10.0,900000000.0
17,"('(6,0)',)",1,"('input_a == 6',)",1,1.0,0.01,10.0,900000000.0
18,"('(1,9)',)",1,"('input_a == 1',)",1,1.0,0.01,10.0,900000000.0
19,"('(5,8)', 'input_a == 5')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
20,"('(5,8)', 'MR1_checker == No-violated')",2,"('input_a == 5',)",1,1.0,0.01,10.0,900000000.0
21,"('(5,8)',)",1,"('MR1_checker == No-violated', 'input_a == 5')",2,1.0,0.01,10.0,900000000.0
22,"('(7,3)',)",1,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
23,"('(6,0)', 'input_b == 0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
24,"('(3,9)',)",1,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
25,"('(6,0)', 'MR1_checker == No-violated')",2,"('input_b == 0',)",1,1.0,0.01,10.0,900000000.0
26,"('(6,0)',)",1,"('MR1_checker == No-violated', 'input_b == 0')",2,1.0,0.01,10.0,900000000.0
27,"('input_a == 8', 'input_b == 5')",2,"('(8,5)',)",1,1.0,0.01,100.0,989999999.9999999
28,"('(8,5)', 'input_b == 5')",2,"('input_a == 8',)",1,1.0,0.01,10.0,900000000.0
29,"('(8,5)', 'input_a == 8')",2,"('input_b == 5',)",1,1.0,0.01,10.0,900000000.0
30,"('(8,5)',)",1,"('input_a == 8', 'input_b == 5')",2,1.0,0.01,100.0,989999999.9999999
31,"('(2,4)',)",1,"('MR1_checker == No-violated', 'input_a == 2', 'input_b == 4')",3,1.0,0.01,100.0,989999999.9999999
32,"('(4,6)',)",1,"('input_a == 4',)",1,1.0,0.01,10.0,900000000.0
33,"('input_a == 7', 'input_b == 5')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
34,"('(7,7)', 'input_b == 7')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
35,"('(9,4)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,1.0,0.0
36,"('(7,7)', 'MR1_checker == No-violated')",2,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
37,"('(7,7)',)",1,"('MR1_checker == No-violated', 'input_b == 7')",2,1.0,0.01,10.0,900000000.0
38,"('input_a == 6', 'input_b == 3')",2,"('(6,3)',)",1,1.0,0.01,100.0,989999999.9999999
