,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
109,input_a==8,input_b==6,sum,output==14,MR1_input_a==6,MR1_input_b==8,MR1_output==14,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==8,MR3_input_b==6,MR3_output==14,MR4_input_a==8,MR4_input_b==6,MR4_output==14,No-violated,Violated,No-violated,No-violated,KMeans==0,first
110,input_a==4,input_b==8,sum,output==12,MR1_input_a==8,MR1_input_b==4,MR1_output==12,constant==3,MR2_input_a==12,MR2_input_b==24,MR2_output==36,MR3_input_a==7,MR3_input_b==11,MR3_output==18,MR4_input_a==1,MR4_input_b==5,MR4_output==6,No-violated,No-violated,Violated,Violated,KMeans==0,first
111,input_a==7,input_b==8,sum,output==15,MR1_input_a==8,MR1_input_b==7,MR1_output==15,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==7,MR3_input_b==8,MR3_output==15,MR4_input_a==7,MR4_input_b==8,MR4_output==15,No-violated,Violated,No-violated,No-violated,KMeans==0,first
112,input_a==9,input_b==7,sum,output==16,MR1_input_a==7,MR1_input_b==9,MR1_output==16,constant==3,MR2_input_a==27,MR2_input_b==21,MR2_output==48,MR3_input_a==12,MR3_input_b==10,MR3_output==22,MR4_input_a==6,MR4_input_b==4,MR4_output==10,No-violated,No-violated,Violated,Violated,KMeans==0,first
117,input_a==3,input_b==5,sum,output==8,MR1_input_a==5,MR1_input_b==3,MR1_output==8,constant==2,MR2_input_a==6,MR2_input_b==10,MR2_output==16,MR3_input_a==5,MR3_input_b==7,MR3_output==12,MR4_input_a==1,MR4_input_b==3,MR4_output==4,No-violated,No-violated,Violated,Violated,KMeans==0,first
118,input_a==9,input_b==5,sum,output==14,MR1_input_a==5,MR1_input_b==9,MR1_output==14,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==9,MR3_input_b==5,MR3_output==14,MR4_input_a==9,MR4_input_b==5,MR4_output==14,No-violated,Violated,No-violated,No-violated,KMeans==0,first
122,input_a==4,input_b==9,sum,output==13,MR1_input_a==9,MR1_input_b==4,MR1_output==13,constant==2,MR2_input_a==8,MR2_input_b==18,MR2_output==26,MR3_input_a==6,MR3_input_b==11,MR3_output==17,MR4_input_a==2,MR4_input_b==7,MR4_output==9,No-violated,No-violated,Violated,Violated,KMeans==0,first
131,input_a==3,input_b==9,sum,output==12,MR1_input_a==9,MR1_input_b==3,MR1_output==12,constant==1,MR2_input_a==3,MR2_input_b==9,MR2_output==12,MR3_input_a==4,MR3_input_b==10,MR3_output==14,MR4_input_a==2,MR4_input_b==8,MR4_output==10,No-violated,No-violated,Violated,Violated,KMeans==0,first
132,input_a==6,input_b==8,sum,output==14,MR1_input_a==8,MR1_input_b==6,MR1_output==14,constant==4,MR2_input_a==24,MR2_input_b==32,MR2_output==56,MR3_input_a==10,MR3_input_b==12,MR3_output==22,MR4_input_a==2,MR4_input_b==4,MR4_output==6,No-violated,No-violated,Violated,Violated,KMeans==0,first
133,input_a==9,input_b==5,sum,output==14,MR1_input_a==5,MR1_input_b==9,MR1_output==14,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==9,MR3_input_b==5,MR3_output==14,MR4_input_a==9,MR4_input_b==5,MR4_output==14,No-violated,Violated,No-violated,No-violated,KMeans==0,first
