,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
0,input_a==3,input_b==0,sub,output==3,MR1_input_a==0,MR1_input_b==3,MR1_output==-3,constant==5,MR2_input_a==15,MR2_input_b==0,MR2_output==15,MR3_input_a==8,MR3_input_b==5,MR3_output==3,MR4_input_a==-2,MR4_input_b==-5,MR4_output==3,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
1,input_a==7,input_b==5,sub,output==2,MR1_input_a==5,MR1_input_b==7,MR1_output==-2,constant==8,MR2_input_a==56,MR2_input_b==40,MR2_output==16,MR3_input_a==15,MR3_input_b==13,MR3_output==2,MR4_input_a==-1,MR4_input_b==-3,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
2,input_a==7,input_b==1,sub,output==6,MR1_input_a==1,MR1_input_b==7,MR1_output==-6,constant==7,MR2_input_a==49,MR2_input_b==7,MR2_output==42,MR3_input_a==14,MR3_input_b==8,MR3_output==6,MR4_input_a==0,MR4_input_b==-6,MR4_output==6,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
3,input_a==4,input_b==0,sub,output==4,MR1_input_a==0,MR1_input_b==4,MR1_output==-4,constant==1,MR2_input_a==4,MR2_input_b==0,MR2_output==4,MR3_input_a==5,MR3_input_b==1,MR3_output==4,MR4_input_a==3,MR4_input_b==-1,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
5,input_a==2,input_b==1,sub,output==1,MR1_input_a==1,MR1_input_b==2,MR1_output==-1,constant==3,MR2_input_a==6,MR2_input_b==3,MR2_output==3,MR3_input_a==5,MR3_input_b==4,MR3_output==1,MR4_input_a==-1,MR4_input_b==-2,MR4_output==1,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
7,input_a==9,input_b==5,sub,output==4,MR1_input_a==5,MR1_input_b==9,MR1_output==-4,constant==6,MR2_input_a==54,MR2_input_b==30,MR2_output==24,MR3_input_a==15,MR3_input_b==11,MR3_output==4,MR4_input_a==3,MR4_input_b==-1,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
8,input_a==5,input_b==2,sub,output==3,MR1_input_a==2,MR1_input_b==5,MR1_output==-3,constant==6,MR2_input_a==30,MR2_input_b==12,MR2_output==18,MR3_input_a==11,MR3_input_b==8,MR3_output==3,MR4_input_a==-1,MR4_input_b==-4,MR4_output==3,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
9,input_a==8,input_b==6,sub,output==2,MR1_input_a==6,MR1_input_b==8,MR1_output==-2,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==8,MR3_input_b==6,MR3_output==2,MR4_input_a==8,MR4_input_b==6,MR4_output==2,Violated,Violated,No-violated,No-violated,KMeans==1,seconds
11,input_a==7,input_b==8,sub,output==-1,MR1_input_a==8,MR1_input_b==7,MR1_output==1,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==7,MR3_input_b==8,MR3_output==-1,MR4_input_a==7,MR4_input_b==8,MR4_output==-1,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
12,input_a==9,input_b==7,sub,output==2,MR1_input_a==7,MR1_input_b==9,MR1_output==-2,constant==3,MR2_input_a==27,MR2_input_b==21,MR2_output==6,MR3_input_a==12,MR3_input_b==10,MR3_output==2,MR4_input_a==6,MR4_input_b==4,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
