,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
101,input_a==7,input_b==5,sum,output==12,MR1_input_a==5,MR1_input_b==7,MR1_output==12,constant==8,MR2_input_a==56,MR2_input_b==40,MR2_output==96,MR3_input_a==15,MR3_input_b==13,MR3_output==28,MR4_input_a==-1,MR4_input_b==-3,MR4_output==-4,No-violated,No-violated,Violated,Violated,KMeans==2,third
102,input_a==7,input_b==1,sum,output==8,MR1_input_a==1,MR1_input_b==7,MR1_output==8,constant==7,MR2_input_a==49,MR2_input_b==7,MR2_output==56,MR3_input_a==14,MR3_input_b==8,MR3_output==22,MR4_input_a==0,MR4_input_b==-6,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==2,third
106,input_a==3,input_b==6,sum,output==9,MR1_input_a==6,MR1_input_b==3,MR1_output==9,constant==9,MR2_input_a==27,MR2_input_b==54,MR2_output==81,MR3_input_a==12,MR3_input_b==15,MR3_output==27,MR4_input_a==-6,MR4_input_b==-3,MR4_output==-9,No-violated,No-violated,Violated,Violated,KMeans==2,third
107,input_a==9,input_b==5,sum,output==14,MR1_input_a==5,MR1_input_b==9,MR1_output==14,constant==6,MR2_input_a==54,MR2_input_b==30,MR2_output==84,MR3_input_a==15,MR3_input_b==11,MR3_output==26,MR4_input_a==3,MR4_input_b==-1,MR4_output==2,No-violated,No-violated,Violated,Violated,KMeans==2,third
113,input_a==3,input_b==4,sum,output==7,MR1_input_a==4,MR1_input_b==3,MR1_output==7,constant==9,MR2_input_a==27,MR2_input_b==36,MR2_output==63,MR3_input_a==12,MR3_input_b==13,MR3_output==25,MR4_input_a==-6,MR4_input_b==-5,MR4_output==-11,No-violated,No-violated,Violated,Violated,KMeans==2,third
114,input_a==7,input_b==3,sum,output==10,MR1_input_a==3,MR1_input_b==7,MR1_output==10,constant==8,MR2_input_a==56,MR2_input_b==24,MR2_output==80,MR3_input_a==15,MR3_input_b==11,MR3_output==26,MR4_input_a==-1,MR4_input_b==-5,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==2,third
116,input_a==7,input_b==5,sum,output==12,MR1_input_a==5,MR1_input_b==7,MR1_output==12,constant==8,MR2_input_a==56,MR2_input_b==40,MR2_output==96,MR3_input_a==15,MR3_input_b==13,MR3_output==28,MR4_input_a==-1,MR4_input_b==-3,MR4_output==-4,No-violated,No-violated,Violated,Violated,KMeans==2,third
121,input_a==3,input_b==7,sum,output==10,MR1_input_a==7,MR1_input_b==3,MR1_output==10,constant==7,MR2_input_a==21,MR2_input_b==49,MR2_output==70,MR3_input_a==10,MR3_input_b==14,MR3_output==24,MR4_input_a==-4,MR4_input_b==0,MR4_output==-4,No-violated,No-violated,Violated,Violated,KMeans==2,third
129,input_a==5,input_b==7,sum,output==12,MR1_input_a==7,MR1_input_b==5,MR1_output==12,constant==9,MR2_input_a==45,MR2_input_b==63,MR2_output==108,MR3_input_a==14,MR3_input_b==16,MR3_output==30,MR4_input_a==-4,MR4_input_b==-2,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==2,third
135,input_a==9,input_b==6,sum,output==15,MR1_input_a==6,MR1_input_b==9,MR1_output==15,constant==7,MR2_input_a==63,MR2_input_b==42,MR2_output==105,MR3_input_a==16,MR3_input_b==13,MR3_output==29,MR4_input_a==2,MR4_input_b==-1,MR4_output==1,No-violated,No-violated,Violated,Violated,KMeans==2,third
139,input_a==8,input_b==4,sum,output==12,MR1_input_a==4,MR1_input_b==8,MR1_output==12,constant==5,MR2_input_a==40,MR2_input_b==20,MR2_output==60,MR3_input_a==13,MR3_input_b==9,MR3_output==22,MR4_input_a==3,MR4_input_b==-1,MR4_output==2,No-violated,No-violated,Violated,Violated,KMeans==2,third
142,input_a==3,input_b==5,sum,output==8,MR1_input_a==5,MR1_input_b==3,MR1_output==8,constant==7,MR2_input_a==21,MR2_input_b==35,MR2_output==56,MR3_input_a==10,MR3_input_b==12,MR3_output==22,MR4_input_a==-4,MR4_input_b==-2,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==2,third
143,input_a==5,input_b==6,sum,output==11,MR1_input_a==6,MR1_input_b==5,MR1_output==11,constant==8,MR2_input_a==40,MR2_input_b==48,MR2_output==88,MR3_input_a==13,MR3_input_b==14,MR3_output==27,MR4_input_a==-3,MR4_input_b==-2,MR4_output==-5,No-violated,No-violated,Violated,Violated,KMeans==2,third
146,input_a==8,input_b==0,sum,output==8,MR1_input_a==0,MR1_input_b==8,MR1_output==8,constant==7,MR2_input_a==56,MR2_input_b==0,MR2_output==56,MR3_input_a==15,MR3_input_b==7,MR3_output==22,MR4_input_a==1,MR4_input_b==-7,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==2,third
149,input_a==9,input_b==4,sum,output==13,MR1_input_a==4,MR1_input_b==9,MR1_output==13,constant==6,MR2_input_a==54,MR2_input_b==24,MR2_output==78,MR3_input_a==15,MR3_input_b==10,MR3_output==25,MR4_input_a==3,MR4_input_b==-2,MR4_output==1,No-violated,No-violated,Violated,Violated,KMeans==2,third
151,input_a==9,input_b==2,sum,output==11,MR1_input_a==2,MR1_input_b==9,MR1_output==11,constant==6,MR2_input_a==54,MR2_input_b==12,MR2_output==66,MR3_input_a==15,MR3_input_b==8,MR3_output==23,MR4_input_a==3,MR4_input_b==-4,MR4_output==-1,No-violated,No-violated,Violated,Violated,KMeans==2,third
153,input_a==5,input_b==0,sum,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==5,constant==9,MR2_input_a==45,MR2_input_b==0,MR2_output==45,MR3_input_a==14,MR3_input_b==9,MR3_output==23,MR4_input_a==-4,MR4_input_b==-9,MR4_output==-13,No-violated,No-violated,Violated,Violated,KMeans==2,third
157,input_a==7,input_b==4,sum,output==11,MR1_input_a==4,MR1_input_b==7,MR1_output==11,constant==7,MR2_input_a==49,MR2_input_b==28,MR2_output==77,MR3_input_a==14,MR3_input_b==11,MR3_output==25,MR4_input_a==0,MR4_input_b==-3,MR4_output==-3,No-violated,No-violated,Violated,Violated,KMeans==2,third
