,id,input_a,input_b,output_add,output_sub,output_add_MR1,output_sub_MR1,output_add_MR2,output_sub_MR2,output_add_MR3,output_sub_MR3,output_add_MR4,output_sub_MR4,MR1_checker_add,MR2_checker_add,MR3_checker_add,MR4_checker_add,MR1_checker_sub,MR2_checker_sub,MR3_checker_sub,MR4_checker_sub
0,DsoN4TQy9GzUzLzw5LTuZy,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
1,TEHkyBTnJtMLrVrvNvKtpV,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
2,V2wjS43bmFjTqrb8YEj6hk,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
3,C6KRkitG554SWH4ifPFwzX,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
4,RdskUigAG6F66wGK2kyBme,0,8,8,-8,8,8,24,-24,11,-5,-2,8,No-violated,No-violated,Violated,Violated,Violated,Violated,Violated,Violated
5,GPmDV2fey7y3DbFrHMHQ9P,0,6,6,-6,6,6,18,-18,9,-3,0,6,No-violated,No-violated,Violated,Violated,Violated,Violated,Violated,Violated
6,Ru9K6t6nwzBYm37ZP2Kah7,0,6,6,-6,6,6,18,-18,9,-3,0,6,No-violated,No-violated,Violated,Violated,Violated,Violated,Violated,Violated
7,SinnYVipYYiCbMwtXLo2nB,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
8,JML8g3iN9ybCPRkpxm5oQa,6,0,6,6,6,-6,18,18,9,9,0,-6,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
9,5zQmmHuidnStSV58FZVVSd,7,0,7,7,7,-7,21,21,10,10,-1,-7,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
10,5rRJVsXW7uPj9TpVLdCsE3,7,0,7,7,7,-7,21,21,10,10,-1,-7,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
11,2mhJuz59nTou97cPYUBvuP,3,0,3,3,3,-3,9,9,6,6,3,-3,No-violated,No-violated,Violated,No-violated,Violated,No-violated,Violated,Violated
12,HNcYMMg4rKiTzwPCpLgNb2,1,0,1,1,1,-1,3,3,4,4,5,-1,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
13,TVCbauWyTPU4GkrzeJx5YR,3,1,4,2,4,-2,12,6,7,5,2,-2,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
14,XvqJeaFqwsYDnmSjXqxo98,3,0,3,3,3,-3,9,9,6,6,3,-3,No-violated,No-violated,Violated,No-violated,Violated,No-violated,Violated,Violated
15,CvPqLyiPAVzfRfP7MmSydM,3,0,3,3,3,-3,9,9,6,6,3,-3,No-violated,No-violated,Violated,No-violated,Violated,No-violated,Violated,Violated
16,YTtd3EBszEh6m3WnRohoRD,3,0,3,3,3,-3,9,9,6,6,3,-3,No-violated,No-violated,Violated,No-violated,Violated,No-violated,Violated,Violated
17,BbtsRPSkUyDb7TxVpATSHw,4,0,4,4,4,-4,12,12,7,7,2,-4,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
18,jHsbbbEq2GkLfbTwqfGkUx,2,0,2,2,2,-2,6,6,5,5,4,-2,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
19,E9KZeKGjLEgUXDrxntQbJJ,0,2,2,-2,2,2,6,-6,5,1,4,2,No-violated,No-violated,Violated,Violated,Violated,Violated,Violated,Violated
20,UCQgimzHRpL762ZM5o22ws,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
21,4fyTUQFkNYbHzHfy4wSWjj,2,0,2,2,2,-2,6,6,5,5,4,-2,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
22,5rUz4VETPMetBifChDPM6a,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
23,UDNEnD7emMH2R7DabpmGgU,7,0,7,7,7,-7,21,21,10,10,-1,-7,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
24,9SPZ4m9boJZ2CaC2cFHm3s,3,7,10,-4,10,4,30,-12,13,-1,-4,4,No-violated,No-violated,Violated,Violated,Violated,Violated,Violated,Violated
25,eymHqmgC2aGpzDhjzWdgwR,7,0,7,7,7,-7,21,21,10,10,-1,-7,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
26,mJEhNkKsgGNxNtULeX3JYd,3,0,3,3,3,-3,9,9,6,6,3,-3,No-violated,No-violated,Violated,No-violated,Violated,No-violated,Violated,Violated
27,CHGja4jGoyw2uq3W9fBsXn,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
28,NdtJRwed38F379NApmtqQA,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
29,4qVhaC6HfenmDMgmFocMgv,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
30,be9YxezXAv2nNRvT7YXHmQ,8,0,8,8,8,-8,24,24,11,11,-2,-8,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
31,MuuMPwDqXhLzgg9cxrU7Qr,0,8,8,-8,8,8,24,-24,11,-5,-2,8,No-violated,No-violated,Violated,Violated,Violated,Violated,Violated,Violated
32,HWX3Y4Y6v3Mo8dpdXta9jY,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
33,o5wyHoZqaMGs29ZxkWMbWa,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
34,mCThj2cD92MUaQ5mvdQFAG,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
35,Sok9TadGWo8it9fgqZ5gXA,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
36,JaUH3DNLyqBhVcR7HrR2AJ,0,0,0,0,0,0,0,0,3,3,6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated,No-violated
37,N2uSCLuRuiRdEoeT8i43Me,7,0,7,7,7,-7,21,21,10,10,-1,-7,No-violated,No-violated,Violated,Violated,Violated,No-violated,Violated,Violated
38,5LFStVrDAsmR4MTd2nBnUK,7,7,14,0,14,0,42,0,17,3,-8,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,Violated,No-violated
39,PWncnTMpxxBbf8Jdyk6UzX,7,7,14,0,14,0,42,0,17,3,-8,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,Violated,No-violated
