,id,input_a,input_b,output_add,output_sub,output_add_MR1,output_sub_MR1,output_add_MR2,output_sub_MR2,output_add_MR3,output_sub_MR3,output_add_MR4,output_sub_MR4
0,f2YwwcFnsjXPtUEhMMoXWd,10,10,20,0,20,0,60,0,26,0,14,0
1,BCDTUmJEyvjCDdzSWWz5y5,20,10,30,10,30,-10,90,30,36,10,24,10
2,8t9iN69hdKz3Z8w7ErSXnW,12,10,22,2,22,-2,66,6,28,2,16,2
3,jYuKLAjF7MQrpy67Yibukj,20,12,32,8,32,-8,96,24,38,8,26,8
4,H6sFyJXtVbetVeruezfnqF,23,12,35,11,35,-11,105,33,41,11,29,11
5,9ybCth9wK94jZyqth9nvWE,23,16,39,7,39,-7,117,21,45,7,33,7
6,WMDzwGMnooM3CEokBn7n8y,23,24,47,-1,47,1,141,-3,53,-1,41,-1
7,j8vdisPRUomqBysDAfVQWh,13,10,23,3,23,-3,69,9,29,3,17,3
8,VgqYUYaciQJKovVWh87RkJ,13,10,23,3,23,-3,69,9,29,3,17,3
9,fFrj3TbPq6pgCW2WDrKovK,20,13,33,7,33,-7,99,21,39,7,27,7
10,Jq8MoTozyAu8CLd87vuaAm,20,25,45,-5,45,5,135,-15,51,-5,39,-5
11,EMChWm6wRUsoBZyqTDXCaD,20,25,45,-5,45,5,135,-15,51,-5,39,-5
12,HsK6MMtocBfzwVv2GrTmuz,10,10,20,0,20,0,60,0,26,0,14,0
13,iZzuymmkwLEWhCy24uf8QV,10,10,20,0,20,0,60,0,26,0,14,0
14,jqpGpt2k42AD8y6eP3GMFi,20,10,30,10,30,-10,90,30,36,10,24,10
15,DFTs6cZaFmaBXMGYc8ppn8,20,10,30,10,30,-10,90,30,36,10,24,10
16,g4WCyFZxMxiVmv2GP9eTyt,20,18,38,2,38,-2,114,6,44,2,32,2
17,V3ETKex6JWwysrNzf2Eg4t,20,10,30,10,30,-10,90,30,36,10,24,10
18,Q5Rd6ikyyRWETXo22RmP89,20,10,30,10,30,-10,90,30,36,10,24,10
19,6VqD7akoxuSELDDP9KpsMA,24,10,34,14,34,-14,102,42,40,14,28,14
20,99X2dts8Gh3ZVQrjubMLdM,12,10,22,2,22,-2,66,6,28,2,16,2
21,mEMMGyPLnSSWo6EPo8NrmZ,11,10,21,1,21,-1,63,3,27,1,15,1
22,iqB7NCiAYr9PzFaQYsqrkY,20,10,30,10,30,-10,90,30,36,10,24,10
23,7iiUoyhXHHFaeKVgBwpFby,20,26,46,-6,46,6,138,-18,52,-6,40,-6
24,AWc9mCuYuWxczChsE4bFnQ,20,26,46,-6,46,6,138,-18,52,-6,40,-6
25,mHkRjiuWUn68mpv4uaAc8e,20,26,46,-6,46,6,138,-18,52,-6,40,-6
26,ChQr22GVA4HAfU46L6JxBz,20,26,46,-6,46,6,138,-18,52,-6,40,-6
27,ZPa7ma4XrbzBipUTXbCojL,20,10,30,10,30,-10,90,30,36,10,24,10
