,id,input_a,input_b,output_add,output_sub,output_add_MR1,output_sub_MR1,output_add_MR2,output_sub_MR2,output_add_MR3,output_sub_MR3,output_add_MR4,output_sub_MR4,MR1_checker_add,MR2_checker_add,MR3_checker_add,MR4_checker_add,MR1_checker_sub,MR2_checker_sub,MR3_checker_sub,MR4_checker_sub
35,bVSTsn7cAhYEXsxagSpz86,2,0,2,2,2,-2,6,6,8,2,-4,2,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
36,ioGnaEf3tZjhg8MSZvjnQJ,2,2,4,0,4,0,12,0,10,0,-2,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
37,7SJSz99omihVZoMp4gTrFJ,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
38,9hSZaKCLMaALv7zJqdAggr,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
39,maDExC2BsJ3sF2ADeTDN7G,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
40,AM6Mfee6PNPv4UkM6YQ2hk,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
41,hTM6dGVH8QLBQ6imgEtygA,9,0,9,9,9,-9,27,27,15,9,3,9,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
42,TZQ3eu8Dt3nAKTZSahfS43,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
43,94Szq2RwRTjiYgv7DQ5mQn,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
44,4MoweNg3b43eSLX5jqXYs8,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
45,5iNwfgWHUWFpjKsvUq3hkH,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
46,Hx5Ueqe7RrP6xtyNQYBcKk,0,3,3,-3,3,3,9,-9,9,-3,-3,-3,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
47,XdaHkS7WCPAtyUk5XyePzL,6,0,6,6,6,-6,18,18,12,6,0,6,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
48,f2jAKA7xvYzEUZEieccY6z,6,6,12,0,12,0,36,0,18,0,6,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
49,TUsMuUHKn9A5BnhN7WkUnE,6,6,12,0,12,0,36,0,18,0,6,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
50,btjbfVgJeMxFgUCHGxRTmD,0,6,6,-6,6,6,18,-18,12,-6,0,-6,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
51,gSkGYyF2Khy3HZcBXHAdWw,0,2,2,-2,2,2,6,-6,8,-2,-4,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
52,aWAWqdeFFPtDZNGNrvsb9n,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
53,3W9b8RUJdboSbjJyWmWYom,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
54,MZsrnMHmGGGEiZ9RafCjc4,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
55,dCXrYtR6bQP8rCAHbaq5Bd,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
56,cjVrJhBGvWhMNDWnkmXdTd,0,2,2,-2,2,2,6,-6,8,-2,-4,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
57,SdujRacDCJrUWkteno6KJU,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
58,U3VcKgzJXgG7cqky3C4nXw,3,0,3,3,3,-3,9,9,9,3,-3,3,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
59,oUUWET4RFG4Ctx2PpvazFi,3,8,11,-5,11,5,33,-15,17,-5,5,-5,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
60,KB5EXCG492fNyXaK2rg4xA,3,3,6,0,6,0,18,0,12,0,0,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
61,Hajm7cGL2gsuXk7uMQ9HTG,6,3,9,3,9,-3,27,9,15,3,3,3,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
62,oLaE4VLeB7eG2ZeoyFPso3,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
63,6nx964GhpsXHAvKUVepzx6,5,0,5,5,5,-5,15,15,11,5,-1,5,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
64,Fjbk7zVzu2ckAwbQiDovWa,5,0,5,5,5,-5,15,15,11,5,-1,5,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
65,YSejW9UFnBd6MffRSkHpkR,0,5,5,-5,5,5,15,-15,11,-5,-1,-5,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
66,ANoSVP9HUEczuCS4z74bNo,5,5,10,0,10,0,30,0,16,0,4,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
67,EcQWbYZzU43P2wVhvWwFvo,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
68,FEjoq9Z8shmucvNJjAxGN7,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
69,eUCcNi9JLmiu5HbJSdtquC,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
70,oVzjeVUNqXq7MFoYga5Juu,8,0,8,8,8,-8,24,24,14,8,2,8,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
71,dir7AVbAVim3sQNzbSoN3n,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
72,4MKx5LjbZFuf8zqZQGiDR9,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
73,mvTpF5QztsAAz7B5eEHSZe,4,0,4,4,4,-4,12,12,10,4,-2,4,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
74,nXnUYdpdbcfMUiSzWs8Q2U,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
75,mnzqJkg5UVy4jyRw6pBFgK,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
76,64PG3KBodLeNRLpp3PmZXK,8,0,8,8,8,-8,24,24,14,8,2,8,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
77,NHnM665ThUMqFXKF2SH3ZM,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
78,F9W22nuWDyGFK4D7GenAjn,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
79,P4MMDaFtz448PjTsDH79yP,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
80,RXDxe5Lex5xXMpgKtvetQY,0,2,2,-2,2,2,6,-6,8,-2,-4,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
81,FZGB3UAAcYoviaev4huVij,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
82,hLebRVKqoFdiHuztPXYcSP,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
83,PGgTxu96y2V6G4mHtutENW,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
84,48yXCe8wmBGLBunE92MEy6,8,0,8,8,8,-8,24,24,14,8,2,8,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
85,FWBeKwXLpcZyycbeDvLyMU,2,0,2,2,2,-2,6,6,8,2,-4,2,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
86,SJygQNsL4522Pus5WYZbkK,2,0,2,2,2,-2,6,6,8,2,-4,2,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
87,kMuPv22EFfE3Vg8uzN9nzD,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
88,9kNhS7ajF5QA865dsAHaNd,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
89,HLhWpqRXAYcrJFZgx2yZ2x,8,0,8,8,8,-8,24,24,14,8,2,8,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
90,oT9t2SsCeKJByhG453PvVs,6,8,14,-2,14,2,42,-6,20,-2,8,-2,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
91,oYWsby3bgJcgGLbMpm8buj,8,0,8,8,8,-8,24,24,14,8,2,8,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
92,CNKaSt4dj9Qgu5bcg3uBPD,8,0,8,8,8,-8,24,24,14,8,2,8,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
