,"(a,b)",input_a,input_b,operand,const,output,MR4_input_a,MR4_input_b,MR4_inputs,MR4_output,MR4_checker
64,"(6,3)",6,3,sub,6,3.0,0.0,-3.0,"(0,-3)",3.0,No-violated
65,"(6,3)",6,3,sum,6,9.0,0.0,-3.0,"(0,-3)",-3.0,Violated
66,"(7,9)",7,9,sub,6,-2.0,1.0,3.0,"(1,3)",-2.0,No-violated
67,"(7,9)",7,9,sum,6,16.0,1.0,3.0,"(1,3)",4.0,Violated
68,"(6,2)",6,2,sub,6,4.0,0.0,-4.0,"(0,-4)",4.0,No-violated
69,"(6,2)",6,2,sum,6,8.0,0.0,-4.0,"(0,-4)",-4.0,Violated
70,"(1,2)",1,2,sub,6,-1.0,-5.0,-4.0,"(-5,-4)",-1.0,No-violated
71,"(1,2)",1,2,sum,6,3.0,-5.0,-4.0,"(-5,-4)",-9.0,Violated
72,"(6,9)",6,9,sub,6,-3.0,0.0,3.0,"(0,3)",-3.0,No-violated
73,"(6,9)",6,9,sum,6,15.0,0.0,3.0,"(0,3)",3.0,Violated
74,"(2,4)",2,4,sub,6,-2.0,-4.0,-2.0,"(-4,-2)",-2.0,No-violated
75,"(2,4)",2,4,sum,6,6.0,-4.0,-2.0,"(-4,-2)",-6.0,Violated
76,"(7,8)",7,8,sub,6,-1.0,1.0,2.0,"(1,2)",-1.0,No-violated
77,"(7,8)",7,8,sum,6,15.0,1.0,2.0,"(1,2)",3.0,Violated
78,"(1,6)",1,6,sub,6,-5.0,-5.0,0.0,"(-5,0)",-5.0,No-violated
79,"(1,6)",1,6,sum,6,7.0,-5.0,0.0,"(-5,0)",-5.0,Violated
80,"(1,6)",1,6,sub,6,-5.0,-5.0,0.0,"(-5,0)",-5.0,No-violated
81,"(1,6)",1,6,sum,6,7.0,-5.0,0.0,"(-5,0)",-5.0,Violated
82,"(1,9)",1,9,sub,6,-8.0,-5.0,3.0,"(-5,3)",-8.0,No-violated
83,"(1,9)",1,9,sum,6,10.0,-5.0,3.0,"(-5,3)",-2.0,Violated
84,"(0,7)",0,7,sub,6,-7.0,-6.0,1.0,"(-6,1)",-7.0,No-violated
85,"(0,7)",0,7,sum,6,7.0,-6.0,1.0,"(-6,1)",-5.0,Violated
86,"(4,7)",4,7,sub,6,-3.0,-2.0,1.0,"(-2,1)",-3.0,No-violated
87,"(4,7)",4,7,sum,6,11.0,-2.0,1.0,"(-2,1)",-1.0,Violated
88,"(3,5)",3,5,sub,6,-2.0,-3.0,-1.0,"(-3,-1)",-2.0,No-violated
89,"(3,5)",3,5,sum,6,8.0,-3.0,-1.0,"(-3,-1)",-4.0,Violated
